rf,rfcat,sex,age,risk30,risk60,risk80
"chronic_respiratory_disease",0,0,2,7.73e-07,.0000536,.0000536
"chronic_respiratory_disease",1,0,2,.0000115,.0004865,.0004865
"chronic_respiratory_disease",0,1,2,7.73e-07,.0000536,.0000536
"chronic_respiratory_disease",1,1,2,.0000115,.0004865,.0004865
"chronic_respiratory_disease",0,0,3,7.73e-07,.0000536,.0000536
"chronic_respiratory_disease",1,0,3,.0000115,.0004865,.0004865
"chronic_respiratory_disease",0,1,3,7.73e-07,.0000536,.0000536
"chronic_respiratory_disease",1,1,3,.0000115,.0004865,.0004865
"chronic_respiratory_disease",0,0,4,7.73e-07,.0000536,.0000536
"chronic_respiratory_disease",1,0,4,.0000115,.0004865,.0004865
"chronic_respiratory_disease",0,1,4,7.73e-07,.0000536,.0000536
"chronic_respiratory_disease",1,1,4,.0000115,.0004865,.0004865
"chronic_respiratory_disease",0,0,5,7.73e-07,.0000536,.0000536
"chronic_respiratory_disease",1,0,5,.0000115,.0004865,.0004865
"chronic_respiratory_disease",0,1,5,7.73e-07,.0000536,.0000536
"chronic_respiratory_disease",1,1,5,.0000115,.0004865,.0004865
"chronic_respiratory_disease",0,0,6,7.73e-07,.0000536,.0000536
"chronic_respiratory_disease",1,0,6,.0000115,.0004865,.0004865
"chronic_respiratory_disease",0,1,6,7.73e-07,.0000536,.0000536
"chronic_respiratory_disease",1,1,6,.0000115,.0004865,.0004865
"chronic_cardiac_disease",0,0,1,5.33e-07,.0000429,.0000429
"chronic_cardiac_disease",1,0,1,.0000106,.0004629,.0004629
"chronic_cardiac_disease",0,1,1,5.33e-07,.0000429,.0000429
"chronic_cardiac_disease",1,1,1,.0000106,.0004629,.0004629
"chronic_cardiac_disease",0,0,2,5.33e-07,.0000429,.0000429
"chronic_cardiac_disease",1,0,2,.0000106,.0004629,.0004629
"chronic_cardiac_disease",0,1,2,5.33e-07,.0000429,.0000429
"chronic_cardiac_disease",1,1,2,.0000106,.0004629,.0004629
"chronic_cardiac_disease",0,0,3,5.33e-07,.0000429,.0000429
"chronic_cardiac_disease",1,0,3,.0000106,.0004629,.0004629
"chronic_cardiac_disease",0,1,3,5.33e-07,.0000429,.0000429
"chronic_cardiac_disease",1,1,3,.0000106,.0004629,.0004629
"chronic_cardiac_disease",0,0,4,5.33e-07,.0000429,.0000429
"chronic_cardiac_disease",1,0,4,.0000106,.0004629,.0004629
"chronic_cardiac_disease",0,1,4,5.33e-07,.0000429,.0000429
"chronic_cardiac_disease",1,1,4,.0000106,.0004629,.0004629
"chronic_cardiac_disease",0,0,5,5.33e-07,.0000429,.0000429
"chronic_cardiac_disease",1,0,5,.0000106,.0004629,.0004629
"chronic_cardiac_disease",0,1,5,5.33e-07,.0000429,.0000429
"chronic_cardiac_disease",1,1,5,.0000106,.0004629,.0004629
"chronic_cardiac_disease",0,0,6,5.33e-07,.0000429,.0000429
"chronic_cardiac_disease",1,0,6,.0000106,.0004629,.0004629
"chronic_cardiac_disease",0,1,6,5.33e-07,.0000429,.0000429
"chronic_cardiac_disease",1,1,6,.0000106,.0004629,.0004629
"chronic_liver_disease",0,0,1,1.18e-06,.00007,.00007
"chronic_liver_disease",1,0,1,5.46e-06,.0002506,.0002506
"chronic_liver_disease",0,1,1,1.18e-06,.00007,.00007
"chronic_liver_disease",1,1,1,5.46e-06,.0002506,.0002506
"chronic_liver_disease",0,0,2,1.18e-06,.00007,.00007
"chronic_liver_disease",1,0,2,5.46e-06,.0002506,.0002506
"chronic_liver_disease",0,1,2,1.18e-06,.00007,.00007
"chronic_liver_disease",1,1,2,5.46e-06,.0002506,.0002506
"chronic_liver_disease",0,0,3,1.18e-06,.00007,.00007
"chronic_liver_disease",1,0,3,5.46e-06,.0002506,.0002506
"chronic_liver_disease",0,1,3,1.18e-06,.00007,.00007
"chronic_liver_disease",1,1,3,5.46e-06,.0002506,.0002506
"chronic_liver_disease",0,0,4,1.18e-06,.00007,.00007
"chronic_liver_disease",1,0,4,5.46e-06,.0002506,.0002506
"chronic_liver_disease",0,1,4,1.18e-06,.00007,.00007
"chronic_liver_disease",1,1,4,5.46e-06,.0002506,.0002506
"chronic_liver_disease",0,0,5,1.18e-06,.00007,.00007
"chronic_liver_disease",1,0,5,5.46e-06,.0002506,.0002506
"chronic_liver_disease",0,1,5,1.18e-06,.00007,.00007
"chronic_liver_disease",1,1,5,5.46e-06,.0002506,.0002506
"chronic_liver_disease",0,0,6,1.18e-06,.00007,.00007
"chronic_liver_disease",1,0,6,5.46e-06,.0002506,.0002506
"chronic_liver_disease",0,1,6,1.18e-06,.00007,.00007
"chronic_liver_disease",1,1,6,5.46e-06,.0002506,.0002506
"stroke_dementia",0,0,1,7.95e-07,.0000563,.0000563
"stroke_dementia",1,0,1,.0000202,.000749,.000749
"stroke_dementia",0,1,1,7.95e-07,.0000563,.0000563
"stroke_dementia",1,1,1,.0000202,.000749,.000749
"stroke_dementia",0,0,2,7.95e-07,.0000563,.0000563
"stroke_dementia",1,0,2,.0000202,.000749,.000749
"stroke_dementia",0,1,2,7.95e-07,.0000563,.0000563
"stroke_dementia",1,1,2,.0000202,.000749,.000749
"stroke_dementia",0,0,3,7.95e-07,.0000563,.0000563
"stroke_dementia",1,0,3,.0000202,.000749,.000749
"stroke_dementia",0,1,3,7.95e-07,.0000563,.0000563
"stroke_dementia",1,1,3,.0000202,.000749,.000749
"stroke_dementia",0,0,4,7.95e-07,.0000563,.0000563
"stroke_dementia",1,0,4,.0000202,.000749,.000749
"stroke_dementia",0,1,4,7.95e-07,.0000563,.0000563
"stroke_dementia",1,1,4,.0000202,.000749,.000749
"stroke_dementia",0,0,5,7.95e-07,.0000563,.0000563
"stroke_dementia",1,0,5,.0000202,.000749,.000749
"stroke_dementia",0,1,5,7.95e-07,.0000563,.0000563
"stroke_dementia",1,1,5,.0000202,.000749,.000749
"stroke_dementia",0,0,6,7.95e-07,.0000563,.0000563
"stroke_dementia",1,0,6,.0000202,.000749,.000749
"stroke_dementia",0,1,6,7.95e-07,.0000563,.0000563
"stroke_dementia",1,1,6,.0000202,.000749,.000749
"other_neuro",0,0,1,1.06e-06,.0000664,.0000664
"other_neuro",1,0,1,.0000168,.0005542,.0005542
"other_neuro",0,1,1,1.06e-06,.0000664,.0000664
"other_neuro",1,1,1,.0000168,.0005542,.0005542
"other_neuro",0,0,2,1.06e-06,.0000664,.0000664
"other_neuro",1,0,2,.0000168,.0005542,.0005542
"other_neuro",0,1,2,1.06e-06,.0000664,.0000664
"other_neuro",1,1,2,.0000168,.0005542,.0005542
"other_neuro",0,0,3,1.06e-06,.0000664,.0000664
"other_neuro",1,0,3,.0000168,.0005542,.0005542
"other_neuro",0,1,3,1.06e-06,.0000664,.0000664
"other_neuro",1,1,3,.0000168,.0005542,.0005542
"other_neuro",0,0,4,1.06e-06,.0000664,.0000664
"other_neuro",1,0,4,.0000168,.0005542,.0005542
"other_neuro",0,1,4,1.06e-06,.0000664,.0000664
"other_neuro",1,1,4,.0000168,.0005542,.0005542
"other_neuro",0,0,5,1.06e-06,.0000664,.0000664
"other_neuro",1,0,5,.0000168,.0005542,.0005542
"other_neuro",0,1,5,1.06e-06,.0000664,.0000664
"other_neuro",1,1,5,.0000168,.0005542,.0005542
"other_neuro",0,0,6,1.06e-06,.0000664,.0000664
"other_neuro",1,0,6,.0000168,.0005542,.0005542
"other_neuro",0,1,6,1.06e-06,.0000664,.0000664
"other_neuro",1,1,6,.0000168,.0005542,.0005542
"organ_transplant",0,0,1,1.19e-06,.0000706,.0000706
"organ_transplant",1,0,1,.0000182,.0006341,.0006341
"organ_transplant",0,1,1,1.19e-06,.0000706,.0000706
"organ_transplant",1,1,1,.0000182,.0006341,.0006341
"organ_transplant",0,0,2,1.19e-06,.0000706,.0000706
"organ_transplant",1,0,2,.0000182,.0006341,.0006341
"organ_transplant",0,1,2,1.19e-06,.0000706,.0000706
"organ_transplant",1,1,2,.0000182,.0006341,.0006341
"organ_transplant",0,0,3,1.19e-06,.0000706,.0000706
"organ_transplant",1,0,3,.0000182,.0006341,.0006341
"organ_transplant",0,1,3,1.19e-06,.0000706,.0000706
"organ_transplant",1,1,3,.0000182,.0006341,.0006341
"organ_transplant",0,0,4,1.19e-06,.0000706,.0000706
"organ_transplant",1,0,4,.0000182,.0006341,.0006341
"organ_transplant",0,1,4,1.19e-06,.0000706,.0000706
"organ_transplant",1,1,4,.0000182,.0006341,.0006341
"organ_transplant",0,0,5,1.19e-06,.0000706,.0000706
"organ_transplant",1,0,5,.0000182,.0006341,.0006341
"organ_transplant",0,1,5,1.19e-06,.0000706,.0000706
"organ_transplant",1,1,5,.0000182,.0006341,.0006341
"organ_transplant",0,0,6,1.19e-06,.0000706,.0000706
"organ_transplant",1,0,6,.0000182,.0006341,.0006341
"organ_transplant",0,1,6,1.19e-06,.0000706,.0000706
"organ_transplant",1,1,6,.0000182,.0006341,.0006341
"spleen",0,0,1,1.21e-06,.000071,.000071
"spleen",1,0,1,4.65e-06,.0002207,.0002207
"spleen",0,1,1,1.21e-06,.000071,.000071
"spleen",1,1,1,4.65e-06,.0002207,.0002207
"spleen",0,0,2,1.21e-06,.000071,.000071
"spleen",1,0,2,4.65e-06,.0002207,.0002207
"spleen",0,1,2,1.21e-06,.000071,.000071
"spleen",1,1,2,4.65e-06,.0002207,.0002207
"spleen",0,0,3,1.21e-06,.000071,.000071
"spleen",1,0,3,4.65e-06,.0002207,.0002207
"spleen",0,1,3,1.21e-06,.000071,.000071
"spleen",1,1,3,4.65e-06,.0002207,.0002207
"spleen",0,0,4,1.21e-06,.000071,.000071
"spleen",1,0,4,4.65e-06,.0002207,.0002207
"spleen",0,1,4,1.21e-06,.000071,.000071
"spleen",1,1,4,4.65e-06,.0002207,.0002207
"spleen",0,0,5,1.21e-06,.000071,.000071
"spleen",1,0,5,4.65e-06,.0002207,.0002207
"spleen",0,1,5,1.21e-06,.000071,.000071
"spleen",1,1,5,4.65e-06,.0002207,.0002207
"spleen",0,0,6,1.21e-06,.000071,.000071
"spleen",1,0,6,4.65e-06,.0002207,.0002207
"spleen",0,1,6,1.21e-06,.000071,.000071
"spleen",1,1,6,4.65e-06,.0002207,.0002207
"ra_sle_psoriasis",0,0,1,1.13e-06,.0000673,.0000673
"ra_sle_psoriasis",1,0,1,2.72e-06,.0001442,.0001442
"ra_sle_psoriasis",0,1,1,1.13e-06,.0000673,.0000673
"ra_sle_psoriasis",1,1,1,2.72e-06,.0001442,.0001442
"ra_sle_psoriasis",0,0,2,1.13e-06,.0000673,.0000673
"ra_sle_psoriasis",1,0,2,2.72e-06,.0001442,.0001442
"ra_sle_psoriasis",0,1,2,1.13e-06,.0000673,.0000673
"ra_sle_psoriasis",1,1,2,2.72e-06,.0001442,.0001442
"ra_sle_psoriasis",0,0,3,1.13e-06,.0000673,.0000673
"ra_sle_psoriasis",1,0,3,2.72e-06,.0001442,.0001442
"ra_sle_psoriasis",0,1,3,1.13e-06,.0000673,.0000673
"ra_sle_psoriasis",1,1,3,2.72e-06,.0001442,.0001442
"ra_sle_psoriasis",0,0,4,1.13e-06,.0000673,.0000673
"ra_sle_psoriasis",1,0,4,2.72e-06,.0001442,.0001442
"ra_sle_psoriasis",0,1,4,1.13e-06,.0000673,.0000673
"ra_sle_psoriasis",1,1,4,2.72e-06,.0001442,.0001442
"ra_sle_psoriasis",0,0,5,1.13e-06,.0000673,.0000673
"ra_sle_psoriasis",1,0,5,2.72e-06,.0001442,.0001442
"ra_sle_psoriasis",0,1,5,1.13e-06,.0000673,.0000673
"ra_sle_psoriasis",1,1,5,2.72e-06,.0001442,.0001442
"ra_sle_psoriasis",0,0,6,1.13e-06,.0000673,.0000673
"ra_sle_psoriasis",1,0,6,2.72e-06,.0001442,.0001442
"ra_sle_psoriasis",0,1,6,1.13e-06,.0000673,.0000673
"ra_sle_psoriasis",1,1,6,2.72e-06,.0001442,.0001442
"other_immunosuppression",0,0,1,1.22e-06,.0000718,.0000718
"other_immunosuppression",1,0,1,7.29e-07,.0000336,.0000336
"other_immunosuppression",0,1,1,1.22e-06,.0000718,.0000718
"other_immunosuppression",1,1,1,7.29e-07,.0000336,.0000336
"other_immunosuppression",0,0,2,1.22e-06,.0000718,.0000718
"other_immunosuppression",1,0,2,7.29e-07,.0000336,.0000336
"other_immunosuppression",0,1,2,1.22e-06,.0000718,.0000718
"other_immunosuppression",1,1,2,7.29e-07,.0000336,.0000336
"other_immunosuppression",0,0,3,1.22e-06,.0000718,.0000718
"other_immunosuppression",1,0,3,7.29e-07,.0000336,.0000336
"other_immunosuppression",0,1,3,1.22e-06,.0000718,.0000718
"other_immunosuppression",1,1,3,7.29e-07,.0000336,.0000336
"other_immunosuppression",0,0,4,1.22e-06,.0000718,.0000718
"other_immunosuppression",1,0,4,7.29e-07,.0000336,.0000336
"other_immunosuppression",0,1,4,1.22e-06,.0000718,.0000718
"other_immunosuppression",1,1,4,7.29e-07,.0000336,.0000336
"other_immunosuppression",0,0,5,1.22e-06,.0000718,.0000718
"other_immunosuppression",1,0,5,7.29e-07,.0000336,.0000336
"other_immunosuppression",0,1,5,1.22e-06,.0000718,.0000718
"other_immunosuppression",1,1,5,7.29e-07,.0000336,.0000336
"other_immunosuppression",0,0,6,1.22e-06,.0000718,.0000718
"other_immunosuppression",1,0,6,7.29e-07,.0000336,.0000336
"other_immunosuppression",0,1,6,1.22e-06,.0000718,.0000718
"other_immunosuppression",1,1,6,7.29e-07,.0000336,.0000336
"obese4cat",1,0,1,9.88e-07,.0000598,.0000598
"obese4cat",2,0,1,1.93e-06,.0001086,.0001086
"obese4cat",3,0,1,2.07e-06,.0001139,.0001139
"obese4cat",4,0,1,2.34e-06,.0001268,.0001268
"obese4cat",1,1,1,9.88e-07,.0000598,.0000598
"obese4cat",2,1,1,1.93e-06,.0001086,.0001086
"obese4cat",3,1,1,2.07e-06,.0001139,.0001139
"obese4cat",4,1,1,2.34e-06,.0001268,.0001268
"obese4cat",1,0,2,9.88e-07,.0000598,.0000598
"obese4cat",2,0,2,1.93e-06,.0001086,.0001086
"obese4cat",3,0,2,2.07e-06,.0001139,.0001139
"obese4cat",4,0,2,2.34e-06,.0001268,.0001268
"obese4cat",1,1,2,9.88e-07,.0000598,.0000598
"obese4cat",2,1,2,1.93e-06,.0001086,.0001086
"obese4cat",3,1,2,2.07e-06,.0001139,.0001139
"obese4cat",4,1,2,2.34e-06,.0001268,.0001268
"obese4cat",1,0,3,9.88e-07,.0000598,.0000598
"obese4cat",2,0,3,1.93e-06,.0001086,.0001086
"obese4cat",3,0,3,2.07e-06,.0001139,.0001139
"obese4cat",4,0,3,2.34e-06,.0001268,.0001268
"obese4cat",1,1,3,9.88e-07,.0000598,.0000598
"obese4cat",2,1,3,1.93e-06,.0001086,.0001086
"obese4cat",3,1,3,2.07e-06,.0001139,.0001139
"obese4cat",4,1,3,2.34e-06,.0001268,.0001268
"obese4cat",1,0,4,9.88e-07,.0000598,.0000598
"obese4cat",2,0,4,1.93e-06,.0001086,.0001086
"obese4cat",3,0,4,2.07e-06,.0001139,.0001139
"obese4cat",4,0,4,2.34e-06,.0001268,.0001268
"obese4cat",1,1,4,9.88e-07,.0000598,.0000598
"obese4cat",2,1,4,1.93e-06,.0001086,.0001086
"obese4cat",3,1,4,2.07e-06,.0001139,.0001139
"obese4cat",4,1,4,2.34e-06,.0001268,.0001268
"obese4cat",1,0,5,9.88e-07,.0000598,.0000598
"obese4cat",2,0,5,1.93e-06,.0001086,.0001086
"obese4cat",3,0,5,2.07e-06,.0001139,.0001139
"obese4cat",4,0,5,2.34e-06,.0001268,.0001268
"obese4cat",1,1,5,9.88e-07,.0000598,.0000598
"obese4cat",2,1,5,1.93e-06,.0001086,.0001086
"obese4cat",3,1,5,2.07e-06,.0001139,.0001139
"obese4cat",4,1,5,2.34e-06,.0001268,.0001268
"obese4cat",1,0,6,9.88e-07,.0000598,.0000598
"obese4cat",2,0,6,1.93e-06,.0001086,.0001086
"obese4cat",3,0,6,2.07e-06,.0001139,.0001139
"obese4cat",4,0,6,2.34e-06,.0001268,.0001268
"obese4cat",1,1,6,9.88e-07,.0000598,.0000598
"obese4cat",2,1,6,1.93e-06,.0001086,.0001086
"obese4cat",3,1,6,2.07e-06,.0001139,.0001139
"obese4cat",4,1,6,2.34e-06,.0001268,.0001268
"smoke_nomiss",1,0,1,5.47e-07,.0000404,.0000404
"smoke_nomiss",2,0,1,2.72e-06,.0001427,.0001427
"smoke_nomiss",3,0,1,2.54e-07,.0000235,.0000235
"smoke_nomiss",1,1,1,5.47e-07,.0000404,.0000404
"smoke_nomiss",2,1,1,2.72e-06,.0001427,.0001427
"smoke_nomiss",3,1,1,2.54e-07,.0000235,.0000235
"smoke_nomiss",1,0,2,5.47e-07,.0000404,.0000404
"smoke_nomiss",2,0,2,2.72e-06,.0001427,.0001427
"smoke_nomiss",3,0,2,2.54e-07,.0000235,.0000235
"smoke_nomiss",1,1,2,5.47e-07,.0000404,.0000404
"smoke_nomiss",2,1,2,2.72e-06,.0001427,.0001427
"smoke_nomiss",3,1,2,2.54e-07,.0000235,.0000235
"smoke_nomiss",1,0,3,5.47e-07,.0000404,.0000404
"smoke_nomiss",2,0,3,2.72e-06,.0001427,.0001427
"smoke_nomiss",3,0,3,2.54e-07,.0000235,.0000235
"smoke_nomiss",1,1,3,5.47e-07,.0000404,.0000404
"smoke_nomiss",2,1,3,2.72e-06,.0001427,.0001427
"smoke_nomiss",3,1,3,2.54e-07,.0000235,.0000235
"smoke_nomiss",1,0,4,5.47e-07,.0000404,.0000404
"smoke_nomiss",2,0,4,2.72e-06,.0001427,.0001427
"smoke_nomiss",3,0,4,2.54e-07,.0000235,.0000235
"smoke_nomiss",1,1,4,5.47e-07,.0000404,.0000404
"smoke_nomiss",2,1,4,2.72e-06,.0001427,.0001427
"smoke_nomiss",3,1,4,2.54e-07,.0000235,.0000235
"smoke_nomiss",1,0,5,5.47e-07,.0000404,.0000404
"smoke_nomiss",2,0,5,2.72e-06,.0001427,.0001427
"smoke_nomiss",3,0,5,2.54e-07,.0000235,.0000235
"smoke_nomiss",1,1,5,5.47e-07,.0000404,.0000404
"smoke_nomiss",2,1,5,2.72e-06,.0001427,.0001427
"smoke_nomiss",3,1,5,2.54e-07,.0000235,.0000235
"smoke_nomiss",1,0,6,5.47e-07,.0000404,.0000404
"smoke_nomiss",2,0,6,2.72e-06,.0001427,.0001427
"smoke_nomiss",3,0,6,2.54e-07,.0000235,.0000235
"smoke_nomiss",1,1,6,5.47e-07,.0000404,.0000404
"smoke_nomiss",2,1,6,2.72e-06,.0001427,.0001427
"smoke_nomiss",3,1,6,2.54e-07,.0000235,.0000235
"imd",1,0,1,7.86e-07,.0000564,.0000564
"imd",2,0,1,9.44e-07,.0000628,.0000628
"imd",3,0,1,1.10e-06,.0000685,.0000685
"imd",4,0,1,1.44e-06,.0000796,.0000796
"imd",5,0,1,1.81e-06,.0000897,.0000897
"imd",1,1,1,7.86e-07,.0000564,.0000564
"imd",2,1,1,9.44e-07,.0000628,.0000628
"imd",3,1,1,1.10e-06,.0000685,.0000685
"imd",4,1,1,1.44e-06,.0000796,.0000796
"imd",5,1,1,1.81e-06,.0000897,.0000897
"imd",1,0,2,7.86e-07,.0000564,.0000564
"imd",2,0,2,9.44e-07,.0000628,.0000628
"imd",3,0,2,1.10e-06,.0000685,.0000685
"imd",4,0,2,1.44e-06,.0000796,.0000796
"imd",5,0,2,1.81e-06,.0000897,.0000897
"imd",1,1,2,7.86e-07,.0000564,.0000564
"imd",2,1,2,9.44e-07,.0000628,.0000628
"imd",3,1,2,1.10e-06,.0000685,.0000685
"imd",4,1,2,1.44e-06,.0000796,.0000796
"imd",5,1,2,1.81e-06,.0000897,.0000897
"imd",1,0,3,7.86e-07,.0000564,.0000564
"imd",2,0,3,9.44e-07,.0000628,.0000628
"imd",3,0,3,1.10e-06,.0000685,.0000685
"imd",4,0,3,1.44e-06,.0000796,.0000796
"imd",5,0,3,1.81e-06,.0000897,.0000897
"imd",1,1,3,7.86e-07,.0000564,.0000564
"imd",2,1,3,9.44e-07,.0000628,.0000628
"imd",3,1,3,1.10e-06,.0000685,.0000685
"imd",4,1,3,1.44e-06,.0000796,.0000796
"imd",5,1,3,1.81e-06,.0000897,.0000897
"imd",1,0,4,7.86e-07,.0000564,.0000564
"imd",2,0,4,9.44e-07,.0000628,.0000628
"imd",3,0,4,1.10e-06,.0000685,.0000685
"imd",4,0,4,1.44e-06,.0000796,.0000796
"imd",5,0,4,1.81e-06,.0000897,.0000897
"imd",1,1,4,7.86e-07,.0000564,.0000564
"imd",2,1,4,9.44e-07,.0000628,.0000628
"imd",3,1,4,1.10e-06,.0000685,.0000685
"imd",4,1,4,1.44e-06,.0000796,.0000796
"imd",5,1,4,1.81e-06,.0000897,.0000897
"imd",1,0,5,7.86e-07,.0000564,.0000564
"imd",2,0,5,9.44e-07,.0000628,.0000628
"imd",3,0,5,1.10e-06,.0000685,.0000685
"imd",4,0,5,1.44e-06,.0000796,.0000796
"imd",5,0,5,1.81e-06,.0000897,.0000897
"imd",1,1,5,7.86e-07,.0000564,.0000564
"imd",2,1,5,9.44e-07,.0000628,.0000628
"imd",3,1,5,1.10e-06,.0000685,.0000685
"imd",4,1,5,1.44e-06,.0000796,.0000796
"imd",5,1,5,1.81e-06,.0000897,.0000897
"imd",1,0,6,7.86e-07,.0000564,.0000564
"imd",2,0,6,9.44e-07,.0000628,.0000628
"imd",3,0,6,1.10e-06,.0000685,.0000685
"imd",4,0,6,1.44e-06,.0000796,.0000796
"imd",5,0,6,1.81e-06,.0000897,.0000897
"imd",1,1,6,7.86e-07,.0000564,.0000564
"imd",2,1,6,9.44e-07,.0000628,.0000628
"imd",3,1,6,1.10e-06,.0000685,.0000685
"imd",4,1,6,1.44e-06,.0000796,.0000796
"imd",5,1,6,1.81e-06,.0000897,.0000897
"asthmacat",1,0,1,1.16e-06,.0000701,.0000701
"asthmacat",2,0,1,1.19e-06,.0000651,.0000651
"asthmacat",3,0,1,3.87e-06,.0001797,.0001797
"asthmacat",1,1,1,1.16e-06,.0000701,.0000701
"asthmacat",2,1,1,1.19e-06,.0000651,.0000651
"asthmacat",3,1,1,3.87e-06,.0001797,.0001797
"asthmacat",1,0,2,1.16e-06,.0000701,.0000701
"asthmacat",2,0,2,1.19e-06,.0000651,.0000651
"asthmacat",3,0,2,3.87e-06,.0001797,.0001797
"asthmacat",1,1,2,1.16e-06,.0000701,.0000701
"asthmacat",2,1,2,1.19e-06,.0000651,.0000651
"asthmacat",3,1,2,3.87e-06,.0001797,.0001797
"asthmacat",1,0,3,1.16e-06,.0000701,.0000701
"asthmacat",2,0,3,1.19e-06,.0000651,.0000651
"asthmacat",3,0,3,3.87e-06,.0001797,.0001797
"asthmacat",1,1,3,1.16e-06,.0000701,.0000701
"asthmacat",2,1,3,1.19e-06,.0000651,.0000651
"asthmacat",3,1,3,3.87e-06,.0001797,.0001797
"asthmacat",1,0,4,1.16e-06,.0000701,.0000701
"asthmacat",2,0,4,1.19e-06,.0000651,.0000651
"asthmacat",3,0,4,3.87e-06,.0001797,.0001797
"asthmacat",1,1,4,1.16e-06,.0000701,.0000701
"asthmacat",2,1,4,1.19e-06,.0000651,.0000651
"asthmacat",3,1,4,3.87e-06,.0001797,.0001797
"asthmacat",1,0,5,1.16e-06,.0000701,.0000701
"asthmacat",2,0,5,1.19e-06,.0000651,.0000651
"asthmacat",3,0,5,3.87e-06,.0001797,.0001797
"asthmacat",1,1,5,1.16e-06,.0000701,.0000701
"asthmacat",2,1,5,1.19e-06,.0000651,.0000651
"asthmacat",3,1,5,3.87e-06,.0001797,.0001797
"asthmacat",1,0,6,1.16e-06,.0000701,.0000701
"asthmacat",2,0,6,1.19e-06,.0000651,.0000651
"asthmacat",3,0,6,3.87e-06,.0001797,.0001797
"asthmacat",1,1,6,1.16e-06,.0000701,.0000701
"asthmacat",2,1,6,1.19e-06,.0000651,.0000651
"asthmacat",3,1,6,3.87e-06,.0001797,.0001797
"diabcat",1,0,1,4.92e-07,.0000404,.0000404
"diabcat",2,0,1,6.31e-06,.0003218,.0003218
"diabcat",3,0,1,.0000112,.000442,.000442
"diabcat",4,0,1,6.57e-06,.0002771,.0002771
"diabcat",1,1,1,4.92e-07,.0000404,.0000404
"diabcat",2,1,1,6.31e-06,.0003218,.0003218
"diabcat",3,1,1,.0000112,.000442,.000442
"diabcat",4,1,1,6.57e-06,.0002771,.0002771
"diabcat",1,0,2,4.92e-07,.0000404,.0000404
"diabcat",2,0,2,6.31e-06,.0003218,.0003218
"diabcat",3,0,2,.0000112,.000442,.000442
"diabcat",4,0,2,6.57e-06,.0002771,.0002771
"diabcat",1,1,2,4.92e-07,.0000404,.0000404
"diabcat",2,1,2,6.31e-06,.0003218,.0003218
"diabcat",3,1,2,.0000112,.000442,.000442
"diabcat",4,1,2,6.57e-06,.0002771,.0002771
"diabcat",1,0,3,4.92e-07,.0000404,.0000404
"diabcat",2,0,3,6.31e-06,.0003218,.0003218
"diabcat",3,0,3,.0000112,.000442,.000442
"diabcat",4,0,3,6.57e-06,.0002771,.0002771
"diabcat",1,1,3,4.92e-07,.0000404,.0000404
"diabcat",2,1,3,6.31e-06,.0003218,.0003218
"diabcat",3,1,3,.0000112,.000442,.000442
"diabcat",4,1,3,6.57e-06,.0002771,.0002771
"diabcat",1,0,4,4.92e-07,.0000404,.0000404
"diabcat",2,0,4,6.31e-06,.0003218,.0003218
"diabcat",3,0,4,.0000112,.000442,.000442
"diabcat",4,0,4,6.57e-06,.0002771,.0002771
"diabcat",1,1,4,4.92e-07,.0000404,.0000404
"diabcat",2,1,4,6.31e-06,.0003218,.0003218
"diabcat",3,1,4,.0000112,.000442,.000442
