rf,rfcat,sex,age,risk30,risk60,risk80
"htdiag_or_highbp",0,0,1,2.95e-07,.0000232,.0000232
"htdiag_or_highbp",1,0,1,2.97e-06,.0001632,.0001632
"htdiag_or_highbp",0,1,1,2.95e-07,.0000232,.0000232
"htdiag_or_highbp",1,1,1,2.97e-06,.0001632,.0001632
"htdiag_or_highbp",0,0,2,2.95e-07,.0000232,.0000232
"htdiag_or_highbp",1,0,2,2.97e-06,.0001632,.0001632
"htdiag_or_highbp",0,1,2,2.95e-07,.0000232,.0000232
"htdiag_or_highbp",1,1,2,2.97e-06,.0001632,.0001632
"htdiag_or_highbp",0,0,3,2.95e-07,.0000232,.0000232
"htdiag_or_highbp",1,0,3,2.97e-06,.0001632,.0001632
"htdiag_or_highbp",0,1,3,2.95e-07,.0000232,.0000232
"htdiag_or_highbp",1,1,3,2.97e-06,.0001632,.0001632
"htdiag_or_highbp",0,0,4,2.95e-07,.0000232,.0000232
"htdiag_or_highbp",1,0,4,2.97e-06,.0001632,.0001632
"htdiag_or_highbp",0,1,4,2.95e-07,.0000232,.0000232
"htdiag_or_highbp",1,1,4,2.97e-06,.0001632,.0001632
"htdiag_or_highbp",0,0,5,2.95e-07,.0000232,.0000232
"htdiag_or_highbp",1,0,5,2.97e-06,.0001632,.0001632
"htdiag_or_highbp",0,1,5,2.95e-07,.0000232,.0000232
"htdiag_or_highbp",1,1,5,2.97e-06,.0001632,.0001632
"htdiag_or_highbp",0,0,6,2.95e-07,.0000232,.0000232
"htdiag_or_highbp",1,0,6,2.97e-06,.0001632,.0001632
"htdiag_or_highbp",0,1,6,2.95e-07,.0000232,.0000232
"htdiag_or_highbp",1,1,6,2.97e-06,.0001632,.0001632
"chronic_respiratory_disease",0,0,1,7.73e-07,.0000536,.0000536
"chronic_respiratory_disease",1,0,1,.0000115,.0004865,.0004865
"chronic_respiratory_disease",0,1,1,7.73e-07,.0000536,.0000536
"chronic_respiratory_disease",1,1,1,.0000115,.0004865,.0004865
