17420594 (100.0)	1418 (0.01)	5707 (0.03)	2457 (0.01)


5973929 (34.3)	103 (0.00)	40 (0.00)	14 (0.00)
2871926 (16.5)	168 (0.01)	93 (0.00)	33 (0.00)
3067705 (17.6)	382 (0.01)	355 (0.01)	125 (0.00)
2406148 (13.8)	428 (0.02)	698 (0.03)	301 (0.01)
1952091 (11.2)	289 (0.01)	1568 (0.08)	704 (0.04)
1148795 (6.6)	48 (0.00)	2953 (0.26)	1280 (0.11)


8726918 (50.1)	395 (0.00)	2112 (0.02)	926 (0.01)
8693676 (49.9)	1023 (0.01)	3595 (0.04)	1531 (0.02)


314161 (1.8)	9 (0.00)	162 (0.05)	72 (0.02)
4812116 (27.6)	147 (0.00)	1478 (0.03)	624 (0.01)
4727688 (27.1)	412 (0.01)	1669 (0.04)	722 (0.02)
2405886 (13.8)	384 (0.02)	1169 (0.05)	504 (0.02)
930210 (5.3)	188 (0.02)	469 (0.05)	196 (0.02)
467049 (2.7)	119 (0.03)	258 (0.06)	115 (0.02)
3763484 (21.6)	159 (0.00)	502 (0.01)	224 (0.01)


8001135 (45.9)	629 (0.01)	1738 (0.02)	752 (0.01)
5726055 (32.9)	724 (0.01)	3543 (0.06)	1528 (0.03)
2964619 (17.0)	56 (0.00)	396 (0.01)	160 (0.01)
728785 (4.2)	9 (0.00)	30 (0.00)	17 (0.00)


10958443 (62.9)	798 (0.01)	3616 (0.03)	1509 (0.01)
171391 (1.0)	20 (0.01)	39 (0.02)	11 (0.01)
1029154 (5.9)	168 (0.02)	372 (0.04)	202 (0.02)
342349 (2.0)	94 (0.03)	157 (0.05)	77 (0.02)
322016 (1.8)	51 (0.02)	61 (0.02)	40 (0.01)
4597241 (26.4)	287 (0.01)	1462 (0.03)	618 (0.01)


3501112 (20.1)	260 (0.01)	950 (0.03)	470 (0.01)
3478439 (20.0)	242 (0.01)	1052 (0.03)	436 (0.01)
3483205 (20.0)	277 (0.01)	1096 (0.03)	471 (0.01)
3479518 (20.0)	334 (0.01)	1253 (0.04)	546 (0.02)
3342741 (19.2)	303 (0.01)	1323 (0.04)	519 (0.02)
135579 (0.8)	SMALL N (0.00)	33 (0.02)	15 (0.01)


3857068 (22.1)	203 (0.01)	1178 (0.03)	503 (0.01)
2503613 (14.4)	178 (0.01)	970 (0.04)	403 (0.02)
5569261 (32.0)	554 (0.01)	1831 (0.03)	797 (0.01)
3754995 (21.6)	464 (0.01)	1716 (0.05)	745 (0.02)
1735657 (10.0)	19 (0.00)	12 (0.00)	9 (0.00)

5957465 (34.2)	854 (0.01)	4231 (0.07)	1841 (0.03)



711513 (4.1)	118 (0.02)	1282 (0.18)	569 (0.08)
16709081 (95.9)	1300 (0.01)	4425 (0.03)	1888 (0.01)

295767 (1.7)	59 (0.02)	199 (0.07)	96 (0.03)
2477001 (14.2)	215 (0.01)	712 (0.03)	318 (0.01)
14647826 (84.1)	1144 (0.01)	4796 (0.03)	2043 (0.01)

1180498 (6.8)	178 (0.02)	2055 (0.17)	922 (0.08)
16240096 (93.2)	1240 (0.01)	3652 (0.02)	1535 (0.01)

476966 (2.7)	167 (0.04)	777 (0.16)	343 (0.07)
1035074 (5.9)	243 (0.02)	1362 (0.13)	610 (0.06)
219991 (1.3)	48 (0.02)	249 (0.11)	107 (0.05)
15688563 (90.1)	960 (0.01)	3319 (0.02)	1397 (0.01)

82148 (0.5)	12 (0.01)	107 (0.13)	54 (0.07)
237345 (1.4)	26 (0.01)	248 (0.10)	126 (0.05)
547714 (3.1)	52 (0.01)	559 (0.10)	241 (0.04)
16553387 (95.0)	1328 (0.01)	4793 (0.03)	2036 (0.01)

8859 (0.1)	SMALL N (0.06)	27 (0.30)	9 (0.10)
28115 (0.2)	19 (0.07)	80 (0.28)	42 (0.15)
64128 (0.4)	14 (0.02)	102 (0.16)	37 (0.06)
17319492 (99.4)	1380 (0.01)	5498 (0.03)	2369 (0.01)

114823 (0.7)	SMALL N (0.00)	112 (0.10)	49 (0.04)
17305771 (99.3)	1413 (0.01)	5595 (0.03)	2408 (0.01)

377652 (2.2)	50 (0.01)	1011 (0.27)	423 (0.11)
17042942 (97.8)	1368 (0.01)	4696 (0.03)	2034 (0.01)

172970 (1.0)	20 (0.01)	314 (0.18)	123 (0.07)
17247624 (99.0)	1398 (0.01)	5393 (0.03)	2334 (0.01)

1095009 (6.3)	176 (0.02)	2533 (0.23)	1079 (0.10)
16325585 (93.7)	1242 (0.01)	3174 (0.02)	1378 (0.01)

20207 (0.1)	16 (0.08)	49 (0.24)	16 (0.08)
17400387 (99.9)	1402 (0.01)	5658 (0.03)	2441 (0.01)

28231 (0.2)	SMALL N (0.02)	23 (0.08)	14 (0.05)
17392363 (99.8)	1413 (0.01)	5684 (0.03)	2443 (0.01)

886315 (5.1)	117 (0.01)	532 (0.06)	255 (0.03)
16534279 (94.9)	1301 (0.01)	5175 (0.03)	2202 (0.01)

280149 (1.6)	20 (0.01)	36 (0.01)	18 (0.01)
17140445 (98.4)	1398 (0.01)	5671 (0.03)	2439 (0.01)

