rf	rfcat	sex	age	risk28
"spleen"	0	0	5	.0003075
"spleen"	1	0	5	.0009362
"spleen"	0	1	5	.0003075
"spleen"	1	1	5	.0009362
"spleen"	0	0	6	.0003075
"spleen"	1	0	6	.0009362
"spleen"	0	1	6	.0003075
"spleen"	1	1	6	.0009362
"ra_sle_psoriasis"	0	0	1	.000295
"ra_sle_psoriasis"	1	0	1	.0005556
"ra_sle_psoriasis"	0	1	1	.000295
"ra_sle_psoriasis"	1	1	1	.0005556
"ra_sle_psoriasis"	0	0	2	.000295
"ra_sle_psoriasis"	1	0	2	.0005556
"ra_sle_psoriasis"	0	1	2	.000295
"ra_sle_psoriasis"	1	1	2	.0005556
"ra_sle_psoriasis"	0	0	3	.000295
"ra_sle_psoriasis"	1	0	3	.0005556
"ra_sle_psoriasis"	0	1	3	.000295
"ra_sle_psoriasis"	1	1	3	.0005556
"ra_sle_psoriasis"	0	0	4	.000295
"ra_sle_psoriasis"	1	0	4	.0005556
"ra_sle_psoriasis"	0	1	4	.000295
"ra_sle_psoriasis"	1	1	4	.0005556
"ra_sle_psoriasis"	0	0	5	.000295
"ra_sle_psoriasis"	1	0	5	.0005556
"ra_sle_psoriasis"	0	1	5	.000295
"ra_sle_psoriasis"	1	1	5	.0005556
"ra_sle_psoriasis"	0	0	6	.000295
"ra_sle_psoriasis"	1	0	6	.0005556
"ra_sle_psoriasis"	0	1	6	.000295
"ra_sle_psoriasis"	1	1	6	.0005556
"other_immunosuppression"	0	0	1	.0003098
"other_immunosuppression"	1	0	1	.0002518
"other_immunosuppression"	0	1	1	.0003098
"other_immunosuppression"	1	1	1	.0002518
"other_immunosuppression"	0	0	2	.0003098
"other_immunosuppression"	1	0	2	.0002518
"other_immunosuppression"	0	1	2	.0003098
"other_immunosuppression"	1	1	2	.0002518
"other_immunosuppression"	0	0	3	.0003098
"other_immunosuppression"	1	0	3	.0002518
"other_immunosuppression"	0	1	3	.0003098
"other_immunosuppression"	1	1	3	.0002518
"other_immunosuppression"	0	0	4	.0003098
"other_immunosuppression"	1	0	4	.0002518
"other_immunosuppression"	0	1	4	.0003098
"other_immunosuppression"	1	1	4	.0002518
"other_immunosuppression"	0	0	5	.0003098
"other_immunosuppression"	1	0	5	.0002518
"other_immunosuppression"	0	1	5	.0003098
"other_immunosuppression"	1	1	5	.0002518
"other_immunosuppression"	0	0	6	.0003098
"other_immunosuppression"	1	0	6	.0002518
"other_immunosuppression"	0	1	6	.0003098
"other_immunosuppression"	1	1	6	.0002518
"obese4cat"	1	0	1	.0002524
"obese4cat"	2	0	1	.0004932
"obese4cat"	3	0	1	.0004678
"obese4cat"	4	0	1	.000541
"obese4cat"	1	1	1	.0002524
"obese4cat"	2	1	1	.0004932
"obese4cat"	3	1	1	.0004678
"obese4cat"	4	1	1	.000541
"obese4cat"	1	0	2	.0002524
"obese4cat"	2	0	2	.0004932
"obese4cat"	3	0	2	.0004678
"obese4cat"	4	0	2	.000541
"obese4cat"	1	1	2	.0002524
"obese4cat"	2	1	2	.0004932
"obese4cat"	3	1	2	.0004678
"obese4cat"	4	1	2	.000541
"obese4cat"	1	0	3	.0002524
"obese4cat"	2	0	3	.0004932
"obese4cat"	3	0	3	.0004678
"obese4cat"	4	0	3	.000541
"obese4cat"	1	1	3	.0002524
"obese4cat"	2	1	3	.0004932
"obese4cat"	3	1	3	.0004678
"obese4cat"	4	1	3	.000541
"obese4cat"	1	0	4	.0002524
"obese4cat"	2	0	4	.0004932
"obese4cat"	3	0	4	.0004678
"obese4cat"	4	0	4	.000541
"obese4cat"	1	1	4	.0002524
"obese4cat"	2	1	4	.0004932
"obese4cat"	3	1	4	.0004678
"obese4cat"	4	1	4	.000541
"obese4cat"	1	0	5	.0002524
"obese4cat"	2	0	5	.0004932
"obese4cat"	3	0	5	.0004678
"obese4cat"	4	0	5	.000541
"obese4cat"	1	1	5	.0002524
"obese4cat"	2	1	5	.0004932
"obese4cat"	3	1	5	.0004678
"obese4cat"	4	1	5	.000541
"obese4cat"	1	0	6	.0002524
"obese4cat"	2	0	6	.0004932
"obese4cat"	3	0	6	.0004678
"obese4cat"	4	0	6	.000541
"obese4cat"	1	1	6	.0002524
"obese4cat"	2	1	6	.0004932
"obese4cat"	3	1	6	.0004678
"obese4cat"	4	1	6	.000541
"smoke_nomiss"	1	0	1	.0001692
"smoke_nomiss"	2	0	1	.0005972
"smoke_nomiss"	3	0	1	.0000896
"smoke_nomiss"	1	1	1	.0001692
"smoke_nomiss"	2	1	1	.0005972
"smoke_nomiss"	3	1	1	.0000896
"smoke_nomiss"	1	0	2	.0001692
"smoke_nomiss"	2	0	2	.0005972
"smoke_nomiss"	3	0	2	.0000896
"smoke_nomiss"	1	1	2	.0001692
"smoke_nomiss"	2	1	2	.0005972
"smoke_nomiss"	3	1	2	.0000896
"smoke_nomiss"	1	0	3	.0001692
"smoke_nomiss"	2	0	3	.0005972
"smoke_nomiss"	3	0	3	.0000896
"smoke_nomiss"	1	1	3	.0001692
"smoke_nomiss"	2	1	3	.0005972
"smoke_nomiss"	3	1	3	.0000896
"smoke_nomiss"	1	0	4	.0001692
"smoke_nomiss"	2	0	4	.0005972
"smoke_nomiss"	3	0	4	.0000896
"smoke_nomiss"	1	1	4	.0001692
"smoke_nomiss"	2	1	4	.0005972
"smoke_nomiss"	3	1	4	.0000896
"smoke_nomiss"	1	0	5	.0001692
"smoke_nomiss"	2	0	5	.0005972
"smoke_nomiss"	3	0	5	.0000896
"smoke_nomiss"	1	1	5	.0001692
"smoke_nomiss"	2	1	5	.0005972
"smoke_nomiss"	3	1	5	.0000896
"smoke_nomiss"	1	0	6	.0001692
"smoke_nomiss"	2	0	6	.0005972
"smoke_nomiss"	3	0	6	.0000896
"smoke_nomiss"	1	1	6	.0001692
"smoke_nomiss"	2	1	6	.0005972
"smoke_nomiss"	3	1	6	.0000896
"imd"	1	0	1	.0001983
"imd"	2	0	1	.0002396
"imd"	3	0	1	.0002718
"imd"	4	0	1	.0003947
"imd"	5	0	1	.0004317
"imd"	1	1	1	.0001983
"imd"	2	1	1	.0002396
"imd"	3	1	1	.0002718
"imd"	4	1	1	.0003947
"imd"	5	1	1	.0004317
"imd"	1	0	2	.0001983
"imd"	2	0	2	.0002396
"imd"	3	0	2	.0002718
"imd"	4	0	2	.0003947
"imd"	5	0	2	.0004317
"imd"	1	1	2	.0001983
"imd"	2	1	2	.0002396
"imd"	3	1	2	.0002718
"imd"	4	1	2	.0003947
"imd"	5	1	2	.0004317
"imd"	1	0	3	.0001983
"imd"	2	0	3	.0002396
"imd"	3	0	3	.0002718
"imd"	4	0	3	.0003947
"imd"	5	0	3	.0004317
"imd"	1	1	3	.0001983
"imd"	2	1	3	.0002396
"imd"	3	1	3	.0002718
"imd"	4	1	3	.0003947
"imd"	5	1	3	.0004317
"imd"	1	0	4	.0001983
"imd"	2	0	4	.0002396
"imd"	3	0	4	.0002718
"imd"	4	0	4	.0003947
"imd"	5	0	4	.0004317
"imd"	1	1	4	.0001983
"imd"	2	1	4	.0002396
"imd"	3	1	4	.0002718
"imd"	4	1	4	.0003947
"imd"	5	1	4	.0004317
"imd"	1	0	5	.0001983
"imd"	2	0	5	.0002396
"imd"	3	0	5	.0002718
"imd"	4	0	5	.0003947
"imd"	5	0	5	.0004317
"imd"	1	1	5	.0001983
"imd"	2	1	5	.0002396
"imd"	3	1	5	.0002718
"imd"	4	1	5	.0003947
"imd"	5	1	5	.0004317
"imd"	1	0	6	.0001983
"imd"	2	0	6	.0002396
"imd"	3	0	6	.0002718
"imd"	4	0	6	.0003947
"imd"	5	0	6	.0004317
"imd"	1	1	6	.0001983
"imd"	2	1	6	.0002396
"imd"	3	1	6	.0002718
"imd"	4	1	6	.0003947
"imd"	5	1	6	.0004317
"asthmacat"	1	0	1	.0003008
"asthmacat"	2	0	1	.0002838
"asthmacat"	3	0	1	.0008397
"asthmacat"	1	1	1	.0003008
"asthmacat"	2	1	1	.0002838
"asthmacat"	3	1	1	.0008397
"asthmacat"	1	0	2	.0003008
"asthmacat"	2	0	2	.0002838
"asthmacat"	3	0	2	.0008397
"asthmacat"	1	1	2	.0003008
"asthmacat"	2	1	2	.0002838
"asthmacat"	3	1	2	.0008397
"asthmacat"	1	0	3	.0003008
"asthmacat"	2	0	3	.0002838
"asthmacat"	3	0	3	.0008397
"asthmacat"	1	1	3	.0003008
"asthmacat"	2	1	3	.0002838
"asthmacat"	3	1	3	.0008397
"asthmacat"	1	0	4	.0003008
"asthmacat"	2	0	4	.0002838
"asthmacat"	3	0	4	.0008397
"asthmacat"	1	1	4	.0003008
"asthmacat"	2	1	4	.0002838
"asthmacat"	3	1	4	.0008397
"asthmacat"	1	0	5	.0003008
"asthmacat"	2	0	5	.0002838
"asthmacat"	3	0	5	.0008397
"asthmacat"	1	1	5	.0003008
"asthmacat"	2	1	5	.0002838
"asthmacat"	3	1	5	.0008397
"asthmacat"	1	0	6	.0003008
"asthmacat"	2	0	6	.0002838
"asthmacat"	3	0	6	.0008397
"asthmacat"	1	1	6	.0003008
"asthmacat"	2	1	6	.0002838
"asthmacat"	3	1	6	.0008397
"diabcat"	1	0	1	.0001463
"diabcat"	2	0	1	.0013637
"diabcat"	3	0	1	.001957
"diabcat"	4	0	1	.0012178
"diabcat"	1	1	1	.0001463
"diabcat"	2	1	1	.0013637
"diabcat"	3	1	1	.001957
"diabcat"	4	1	1	.0012178
"diabcat"	1	0	2	.0001463
"diabcat"	2	0	2	.0013637
"diabcat"	3	0	2	.001957
"diabcat"	4	0	2	.0012178
"diabcat"	1	1	2	.0001463
"diabcat"	2	1	2	.0013637
"diabcat"	3	1	2	.001957
"diabcat"	4	1	2	.0012178
"diabcat"	1	0	3	.0001463
"diabcat"	2	0	3	.0013637
"diabcat"	3	0	3	.001957
"diabcat"	4	0	3	.0012178
"diabcat"	1	1	3	.0001463
"diabcat"	2	1	3	.0013637
"diabcat"	3	1	3	.001957
"diabcat"	4	1	3	.0012178
"diabcat"	1	0	4	.0001463
"diabcat"	2	0	4	.0013637
"diabcat"	3	0	4	.001957
"diabcat"	4	0	4	.0012178
"diabcat"	1	1	4	.0001463
"diabcat"	2	1	4	.0013637
"diabcat"	3	1	4	.001957
"diabcat"	4	1	4	.0012178
"diabcat"	1	0	5	.0001463
"diabcat"	2	0	5	.0013637
"diabcat"	3	0	5	.001957
"diabcat"	4	0	5	.0012178
"diabcat"	1	1	5	.0001463
"diabcat"	2	1	5	.0013637
"diabcat"	3	1	5	.001957
"diabcat"	4	1	5	.0012178
"diabcat"	1	0	6	.0001463
"diabcat"	2	0	6	.0013637
"diabcat"	3	0	6	.001957
"diabcat"	4	0	6	.0012178
"diabcat"	1	1	6	.0001463
"diabcat"	2	1	6	.0013637
"diabcat"	3	1	6	.001957
"diabcat"	4	1	6	.0012178
"cancer_exhaem_cat"	1	0	1	.0002638
"cancer_exhaem_cat"	2	0	1	.001516
"cancer_exhaem_cat"	3	0	1	.0010343
"cancer_exhaem_cat"	4	0	1	.0010646
"cancer_exhaem_cat"	1	1	1	.0002638
"cancer_exhaem_cat"	2	1	1	.001516
"cancer_exhaem_cat"	3	1	1	.0010343
"cancer_exhaem_cat"	4	1	1	.0010646
"cancer_exhaem_cat"	1	0	2	.0002638
"cancer_exhaem_cat"	2	0	2	.001516
"cancer_exhaem_cat"	3	0	2	.0010343
"cancer_exhaem_cat"	4	0	2	.0010646
"cancer_exhaem_cat"	1	1	2	.0002638
"cancer_exhaem_cat"	2	1	2	.001516
"cancer_exhaem_cat"	3	1	2	.0010343
"cancer_exhaem_cat"	4	1	2	.0010646
"cancer_exhaem_cat"	1	0	3	.0002638
"cancer_exhaem_cat"	2	0	3	.001516
"cancer_exhaem_cat"	3	0	3	.0010343
"cancer_exhaem_cat"	4	0	3	.0010646
"cancer_exhaem_cat"	1	1	3	.0002638
"cancer_exhaem_cat"	2	1	3	.001516
"cancer_exhaem_cat"	3	1	3	.0010343
"cancer_exhaem_cat"	4	1	3	.0010646
"cancer_exhaem_cat"	1	0	4	.0002638
"cancer_exhaem_cat"	2	0	4	.001516
"cancer_exhaem_cat"	3	0	4	.0010343
"cancer_exhaem_cat"	4	0	4	.0010646
"cancer_exhaem_cat"	1	1	4	.0002638
"cancer_exhaem_cat"	2	1	4	.001516
"cancer_exhaem_cat"	3	1	4	.0010343
"cancer_exhaem_cat"	4	1	4	.0010646
"cancer_exhaem_cat"	1	0	5	.0002638
"cancer_exhaem_cat"	2	0	5	.001516
"cancer_exhaem_cat"	3	0	5	.0010343
"cancer_exhaem_cat"	4	0	5	.0010646
"cancer_exhaem_cat"	1	1	5	.0002638
"cancer_exhaem_cat"	2	1	5	.001516
"cancer_exhaem_cat"	3	1	5	.0010343
"cancer_exhaem_cat"	4	1	5	.0010646
"cancer_exhaem_cat"	1	0	6	.0002638
"cancer_exhaem_cat"	2	0	6	.001516
"cancer_exhaem_cat"	3	0	6	.0010343
"cancer_exhaem_cat"	4	0	6	.0010646
"cancer_exhaem_cat"	1	1	6	.0002638
"cancer_exhaem_cat"	2	1	6	.001516
"cancer_exhaem_cat"	3	1	6	.0010343
"cancer_exhaem_cat"	4	1	6	.0010646
"cancer_haem_cat"	1	0	1	.0002897
"cancer_haem_cat"	2	0	1	.0036375
"cancer_haem_cat"	3	0	1	.0050362
"cancer_haem_cat"	4	0	1	.0016565
"cancer_haem_cat"	1	1	1	.0002897
"cancer_haem_cat"	2	1	1	.0036375
"cancer_haem_cat"	3	1	1	.0050362
"cancer_haem_cat"	4	1	1	.0016565
"cancer_haem_cat"	1	0	2	.0002897
"cancer_haem_cat"	2	0	2	.0036375
"cancer_haem_cat"	3	0	2	.0050362
"cancer_haem_cat"	4	0	2	.0016565
"cancer_haem_cat"	1	1	2	.0002897
"cancer_haem_cat"	2	1	2	.0036375
"cancer_haem_cat"	3	1	2	.0050362
"cancer_haem_cat"	4	1	2	.0016565
"cancer_haem_cat"	1	0	3	.0002897
"cancer_haem_cat"	2	0	3	.0036375
"cancer_haem_cat"	3	0	3	.0050362
"cancer_haem_cat"	4	0	3	.0016565
"cancer_haem_cat"	1	1	3	.0002897
"cancer_haem_cat"	2	1	3	.0036375
"cancer_haem_cat"	3	1	3	.0050362
"cancer_haem_cat"	4	1	3	.0016565
"cancer_haem_cat"	1	0	4	.0002897
"cancer_haem_cat"	2	0	4	.0036375
"cancer_haem_cat"	3	0	4	.0050362
"cancer_haem_cat"	4	0	4	.0016565
"cancer_haem_cat"	1	1	4	.0002897
"cancer_haem_cat"	2	1	4	.0036375
"cancer_haem_cat"	3	1	4	.0050362
"cancer_haem_cat"	4	1	4	.0016565
"cancer_haem_cat"	1	0	5	.0002897
"cancer_haem_cat"	2	0	5	.0036375
"cancer_haem_cat"	3	0	5	.0050362
"cancer_haem_cat"	4	0	5	.0016565
"cancer_haem_cat"	1	1	5	.0002897
"cancer_haem_cat"	2	1	5	.0036375
"cancer_haem_cat"	3	1	5	.0050362
"cancer_haem_cat"	4	1	5	.0016565
"cancer_haem_cat"	1	0	6	.0002897
"cancer_haem_cat"	2	0	6	.0036375
"cancer_haem_cat"	3	0	6	.0050362
"cancer_haem_cat"	4	0	6	.0016565
"cancer_haem_cat"	1	1	6	.0002897
"cancer_haem_cat"	2	1	6	.0036375
"cancer_haem_cat"	3	1	6	.0050362
"cancer_haem_cat"	4	1	6	.0016565
"reduced_kidney_function_cat"	1	0	1	.000124
"reduced_kidney_function_cat"	2	0	1	.0017999
"reduced_kidney_function_cat"	3	0	1	.0088584
"reduced_kidney_function_cat"	1	1	1	.000124
"reduced_kidney_function_cat"	2	1	1	.0017999
"reduced_kidney_function_cat"	3	1	1	.0088584
"reduced_kidney_function_cat"	1	0	2	.000124
"reduced_kidney_function_cat"	2	0	2	.0017999
"reduced_kidney_function_cat"	3	0	2	.0088584
"reduced_kidney_function_cat"	1	1	2	.000124
"reduced_kidney_function_cat"	2	1	2	.0017999
"reduced_kidney_function_cat"	3	1	2	.0088584
"reduced_kidney_function_cat"	1	0	3	.000124
"reduced_kidney_function_cat"	2	0	3	.0017999
"reduced_kidney_function_cat"	3	0	3	.0088584
"reduced_kidney_function_cat"	1	1	3	.000124
"reduced_kidney_function_cat"	2	1	3	.0017999
"reduced_kidney_function_cat"	3	1	3	.0088584
"reduced_kidney_function_cat"	1	0	4	.000124
"reduced_kidney_function_cat"	2	0	4	.0017999
"reduced_kidney_function_cat"	3	0	4	.0088584
"reduced_kidney_function_cat"	1	1	4	.000124
"reduced_kidney_function_cat"	2	1	4	.0017999
"reduced_kidney_function_cat"	3	1	4	.0088584
"reduced_kidney_function_cat"	1	0	5	.000124
"reduced_kidney_function_cat"	2	0	5	.0017999
"reduced_kidney_function_cat"	3	0	5	.0088584
"reduced_kidney_function_cat"	1	1	5	.000124
"reduced_kidney_function_cat"	2	1	5	.0017999
"reduced_kidney_function_cat"	3	1	5	.0088584
"reduced_kidney_function_cat"	1	0	6	.000124
"reduced_kidney_function_cat"	2	0	6	.0017999
"reduced_kidney_function_cat"	3	0	6	.0088584
"reduced_kidney_function_cat"	1	1	6	.000124
"reduced_kidney_function_cat"	2	1	6	.0017999
"reduced_kidney_function_cat"	3	1	6	.0088584
"Smoking, comorb=0"	1	0	1	.0000149
"Smoking, comorb=1"	1	0	1	.0003845
"Smoking, comorb=0"	2	0	1	.0000301
"Smoking, comorb=1"	2	0	1	.0009432
"Smoking, comorb=0"	3	0	1	.0000104
"Smoking, comorb=1"	3	0	1	.0001959
"Smoking, comorb=0"	1	1	1	.0000149
"Smoking, comorb=1"	1	1	1	.0003845
"Smoking, comorb=0"	2	1	1	.0000301
"Smoking, comorb=1"	2	1	1	.0009432
"Smoking, comorb=0"	3	1	1	.0000104
"Smoking, comorb=1"	3	1	1	.0001959
"Smoking, comorb=0"	1	0	2	.0000149
"Smoking, comorb=1"	1	0	2	.0003845
"Smoking, comorb=0"	2	0	2	.0000301
"Smoking, comorb=1"	2	0	2	.0009432
"Smoking, comorb=0"	3	0	2	.0000104
"Smoking, comorb=1"	3	0	2	.0001959
"Smoking, comorb=0"	1	1	2	.0000149
"Smoking, comorb=1"	1	1	2	.0003845
"Smoking, comorb=0"	2	1	2	.0000301
"Smoking, comorb=1"	2	1	2	.0009432
"Smoking, comorb=0"	3	1	2	.0000104
"Smoking, comorb=1"	3	1	2	.0001959
"Smoking, comorb=0"	1	0	3	.0000149
"Smoking, comorb=1"	1	0	3	.0003845
"Smoking, comorb=0"	2	0	3	.0000301
"Smoking, comorb=1"	2	0	3	.0009432
"Smoking, comorb=0"	3	0	3	.0000104
"Smoking, comorb=1"	3	0	3	.0001959
"Smoking, comorb=0"	1	1	3	.0000149
"Smoking, comorb=1"	1	1	3	.0003845
"Smoking, comorb=0"	2	1	3	.0000301
"Smoking, comorb=1"	2	1	3	.0009432
"Smoking, comorb=0"	3	1	3	.0000104
"Smoking, comorb=1"	3	1	3	.0001959
"Smoking, comorb=0"	1	0	4	.0000149
"Smoking, comorb=1"	1	0	4	.0003845
"Smoking, comorb=0"	2	0	4	.0000301
"Smoking, comorb=1"	2	0	4	.0009432
"Smoking, comorb=0"	3	0	4	.0000104
"Smoking, comorb=1"	3	0	4	.0001959
"Smoking, comorb=0"	1	1	4	.0000149
"Smoking, comorb=1"	1	1	4	.0003845
"Smoking, comorb=0"	2	1	4	.0000301
"Smoking, comorb=1"	2	1	4	.0009432
"Smoking, comorb=0"	3	1	4	.0000104
"Smoking, comorb=1"	3	1	4	.0001959
"Smoking, comorb=0"	1	0	5	.0000149
"Smoking, comorb=1"	1	0	5	.0003845
"Smoking, comorb=0"	2	0	5	.0000301
"Smoking, comorb=1"	2	0	5	.0009432
"Smoking, comorb=0"	3	0	5	.0000104
