rf	rfcat	sex	age	risk28
"htdiag_or_highbp"	0	0	1	.0000917
"htdiag_or_highbp"	1	0	1	.0006944
"htdiag_or_highbp"	0	1	1	.0000917
"htdiag_or_highbp"	1	1	1	.0006944
"htdiag_or_highbp"	0	0	2	.0000917
"htdiag_or_highbp"	1	0	2	.0006944
"htdiag_or_highbp"	0	1	2	.0000917
"htdiag_or_highbp"	1	1	2	.0006944
"htdiag_or_highbp"	0	0	3	.0000917
"htdiag_or_highbp"	1	0	3	.0006944
"htdiag_or_highbp"	0	1	3	.0000917
"htdiag_or_highbp"	1	1	3	.0006944
"htdiag_or_highbp"	0	0	4	.0000917
"htdiag_or_highbp"	1	0	4	.0006944
"htdiag_or_highbp"	0	1	4	.0000917
"htdiag_or_highbp"	1	1	4	.0006944
"htdiag_or_highbp"	0	0	5	.0000917
"htdiag_or_highbp"	1	0	5	.0006944
"htdiag_or_highbp"	0	1	5	.0000917
"htdiag_or_highbp"	1	1	5	.0006944
"htdiag_or_highbp"	0	0	6	.0000917
"htdiag_or_highbp"	1	0	6	.0006944
"htdiag_or_highbp"	0	1	6	.0000917
"htdiag_or_highbp"	1	1	6	.0006944
"chronic_respiratory_disease"	0	0	1	.0002164
"chronic_respiratory_disease"	1	0	1	.0020393
"chronic_respiratory_disease"	0	1	1	.0002164
"chronic_respiratory_disease"	1	1	1	.0020393
"chronic_respiratory_disease"	0	0	2	.0002164
"chronic_respiratory_disease"	1	0	2	.0020393
"chronic_respiratory_disease"	0	1	2	.0002164
"chronic_respiratory_disease"	1	1	2	.0020393
"chronic_respiratory_disease"	0	0	3	.0002164
"chronic_respiratory_disease"	1	0	3	.0020393
"chronic_respiratory_disease"	0	1	3	.0002164
"chronic_respiratory_disease"	1	1	3	.0020393
"chronic_respiratory_disease"	0	0	4	.0002164
"chronic_respiratory_disease"	1	0	4	.0020393
"chronic_respiratory_disease"	0	1	4	.0002164
"chronic_respiratory_disease"	1	1	4	.0020393
"chronic_respiratory_disease"	0	0	5	.0002164
"chronic_respiratory_disease"	1	0	5	.0020393
"chronic_respiratory_disease"	0	1	5	.0002164
"chronic_respiratory_disease"	1	1	5	.0020393
"chronic_respiratory_disease"	0	0	6	.0002164
"chronic_respiratory_disease"	1	0	6	.0020393
"chronic_respiratory_disease"	0	1	6	.0002164
"chronic_respiratory_disease"	1	1	6	.0020393
"chronic_cardiac_disease"	0	0	1	.000168
"chronic_cardiac_disease"	1	0	1	.0019256
"chronic_cardiac_disease"	0	1	1	.000168
"chronic_cardiac_disease"	1	1	1	.0019256
"chronic_cardiac_disease"	0	0	2	.000168
"chronic_cardiac_disease"	1	0	2	.0019256
"chronic_cardiac_disease"	0	1	2	.000168
"chronic_cardiac_disease"	1	1	2	.0019256
"chronic_cardiac_disease"	0	0	3	.000168
"chronic_cardiac_disease"	1	0	3	.0019256
"chronic_cardiac_disease"	0	1	3	.000168
"chronic_cardiac_disease"	1	1	3	.0019256
"chronic_cardiac_disease"	0	0	4	.000168
"chronic_cardiac_disease"	1	0	4	.0019256
"chronic_cardiac_disease"	0	1	4	.000168
"chronic_cardiac_disease"	1	1	4	.0019256
"chronic_cardiac_disease"	0	0	5	.000168
"chronic_cardiac_disease"	1	0	5	.0019256
"chronic_cardiac_disease"	0	1	5	.000168
"chronic_cardiac_disease"	1	1	5	.0019256
"chronic_cardiac_disease"	0	0	6	.000168
"chronic_cardiac_disease"	1	0	6	.0019256
"chronic_cardiac_disease"	0	1	6	.000168
"chronic_cardiac_disease"	1	1	6	.0019256
"chronic_liver_disease"	0	0	1	.0003019
"chronic_liver_disease"	1	0	1	.0012248
"chronic_liver_disease"	0	1	1	.0003019
"chronic_liver_disease"	1	1	1	.0012248
"chronic_liver_disease"	0	0	2	.0003019
"chronic_liver_disease"	1	0	2	.0012248
"chronic_liver_disease"	0	1	2	.0003019
"chronic_liver_disease"	1	1	2	.0012248
"chronic_liver_disease"	0	0	3	.0003019
"chronic_liver_disease"	1	0	3	.0012248
"chronic_liver_disease"	0	1	3	.0003019
"chronic_liver_disease"	1	1	3	.0012248
"chronic_liver_disease"	0	0	4	.0003019
"chronic_liver_disease"	1	0	4	.0012248
"chronic_liver_disease"	0	1	4	.0003019
"chronic_liver_disease"	1	1	4	.0012248
"chronic_liver_disease"	0	0	5	.0003019
"chronic_liver_disease"	1	0	5	.0012248
"chronic_liver_disease"	0	1	5	.0003019
"chronic_liver_disease"	1	1	5	.0012248
"chronic_liver_disease"	0	0	6	.0003019
"chronic_liver_disease"	1	0	6	.0012248
"chronic_liver_disease"	0	1	6	.0003019
"chronic_liver_disease"	1	1	6	.0012248
"stroke_dementia"	0	0	1	.0002347
"stroke_dementia"	1	0	1	.0029223
"stroke_dementia"	0	1	1	.0002347
"stroke_dementia"	1	1	1	.0029223
"stroke_dementia"	0	0	2	.0002347
"stroke_dementia"	1	0	2	.0029223
"stroke_dementia"	0	1	2	.0002347
"stroke_dementia"	1	1	2	.0029223
"stroke_dementia"	0	0	3	.0002347
"stroke_dementia"	1	0	3	.0029223
"stroke_dementia"	0	1	3	.0002347
"stroke_dementia"	1	1	3	.0029223
"stroke_dementia"	0	0	4	.0002347
"stroke_dementia"	1	0	4	.0029223
"stroke_dementia"	0	1	4	.0002347
"stroke_dementia"	1	1	4	.0029223
"stroke_dementia"	0	0	5	.0002347
"stroke_dementia"	1	0	5	.0029223
"stroke_dementia"	0	1	5	.0002347
"stroke_dementia"	1	1	5	.0029223
"stroke_dementia"	0	0	6	.0002347
"stroke_dementia"	1	0	6	.0029223
"stroke_dementia"	0	1	6	.0002347
"stroke_dementia"	1	1	6	.0029223
"other_neuro"	0	0	1	.0002854
"other_neuro"	1	0	1	.0022807
"other_neuro"	0	1	1	.0002854
"other_neuro"	1	1	1	.0022807
"other_neuro"	0	0	2	.0002854
"other_neuro"	1	0	2	.0022807
"other_neuro"	0	1	2	.0002854
"other_neuro"	1	1	2	.0022807
"other_neuro"	0	0	3	.0002854
"other_neuro"	1	0	3	.0022807
"other_neuro"	0	1	3	.0002854
"other_neuro"	1	1	3	.0022807
"other_neuro"	0	0	4	.0002854
"other_neuro"	1	0	4	.0022807
"other_neuro"	0	1	4	.0002854
"other_neuro"	1	1	4	.0022807
"other_neuro"	0	0	5	.0002854
"other_neuro"	1	0	5	.0022807
"other_neuro"	0	1	5	.0002854
"other_neuro"	1	1	5	.0022807
"other_neuro"	0	0	6	.0002854
"other_neuro"	1	0	6	.0022807
"other_neuro"	0	1	6	.0002854
"other_neuro"	1	1	6	.0022807
"organ_transplant"	0	0	1	.0003043
"organ_transplant"	1	0	1	.0032038
"organ_transplant"	0	1	1	.0003043
"organ_transplant"	1	1	1	.0032038
"organ_transplant"	0	0	2	.0003043
"organ_transplant"	1	0	2	.0032038
"organ_transplant"	0	1	2	.0003043
"organ_transplant"	1	1	2	.0032038
"organ_transplant"	0	0	3	.0003043
"organ_transplant"	1	0	3	.0032038
"organ_transplant"	0	1	3	.0003043
"organ_transplant"	1	1	3	.0032038
"organ_transplant"	0	0	4	.0003043
"organ_transplant"	1	0	4	.0032038
"organ_transplant"	0	1	4	.0003043
"organ_transplant"	1	1	4	.0032038
"organ_transplant"	0	0	5	.0003043
"organ_transplant"	1	0	5	.0032038
"organ_transplant"	0	1	5	.0003043
"organ_transplant"	1	1	5	.0032038
"organ_transplant"	0	0	6	.0003043
"organ_transplant"	1	0	6	.0032038
"organ_transplant"	0	1	6	.0003043
"organ_transplant"	1	1	6	.0032038
"spleen"	0	0	1	.0003075
"spleen"	1	0	1	.0009362
"spleen"	0	1	1	.0003075
"spleen"	1	1	1	.0009362
"spleen"	0	0	2	.0003075
"spleen"	1	0	2	.0009362
"spleen"	0	1	2	.0003075
"spleen"	1	1	2	.0009362
"spleen"	0	0	3	.0003075
"spleen"	1	0	3	.0009362
"spleen"	0	1	3	.0003075
"spleen"	1	1	3	.0009362
"spleen"	0	0	4	.0003075
"spleen"	1	0	4	.0009362
"spleen"	0	1	4	.0003075
"spleen"	1	1	4	.0009362
