rf	rfcat	sex	age	risk28
"ra_sle_psoriasis"	1	0	1	.0004525
"ra_sle_psoriasis"	0	1	1	.0002491
"ra_sle_psoriasis"	1	1	1	.0004525
"ra_sle_psoriasis"	0	0	2	.0002491
"ra_sle_psoriasis"	1	0	2	.0004525
"ra_sle_psoriasis"	0	1	2	.0002491
"ra_sle_psoriasis"	1	1	2	.0004525
"ra_sle_psoriasis"	0	0	3	.0002491
"ra_sle_psoriasis"	1	0	3	.0004525
"ra_sle_psoriasis"	0	1	3	.0002491
"ra_sle_psoriasis"	1	1	3	.0004525
"ra_sle_psoriasis"	0	0	4	.0002491
"ra_sle_psoriasis"	1	0	4	.0004525
"ra_sle_psoriasis"	0	1	4	.0002491
"ra_sle_psoriasis"	1	1	4	.0004525
"ra_sle_psoriasis"	0	0	5	.0002491
"ra_sle_psoriasis"	1	0	5	.0004525
"ra_sle_psoriasis"	0	1	5	.0002491
"ra_sle_psoriasis"	1	1	5	.0004525
"ra_sle_psoriasis"	0	0	6	.0002491
"ra_sle_psoriasis"	1	0	6	.0004525
"ra_sle_psoriasis"	0	1	6	.0002491
"ra_sle_psoriasis"	1	1	6	.0004525
"other_immunosuppression"	0	0	1	.0002605
"other_immunosuppression"	1	0	1	.0002226
"other_immunosuppression"	0	1	1	.0002605
"other_immunosuppression"	1	1	1	.0002226
"other_immunosuppression"	0	0	2	.0002605
"other_immunosuppression"	1	0	2	.0002226
"other_immunosuppression"	0	1	2	.0002605
"other_immunosuppression"	1	1	2	.0002226
"other_immunosuppression"	0	0	3	.0002605
"other_immunosuppression"	1	0	3	.0002226
"other_immunosuppression"	0	1	3	.0002605
"other_immunosuppression"	1	1	3	.0002226
"other_immunosuppression"	0	0	4	.0002605
"other_immunosuppression"	1	0	4	.0002226
"other_immunosuppression"	0	1	4	.0002605
"other_immunosuppression"	1	1	4	.0002226
"other_immunosuppression"	0	0	5	.0002605
"other_immunosuppression"	1	0	5	.0002226
"other_immunosuppression"	0	1	5	.0002605
"other_immunosuppression"	1	1	5	.0002226
"other_immunosuppression"	0	0	6	.0002605
"other_immunosuppression"	1	0	6	.0002226
"other_immunosuppression"	0	1	6	.0002605
"other_immunosuppression"	1	1	6	.0002226
"obese4cat"	1	0	1	.000218
"obese4cat"	2	0	1	.0003964
"obese4cat"	3	0	1	.0003729
"obese4cat"	4	0	1	.0004422
"obese4cat"	1	1	1	.000218
"obese4cat"	2	1	1	.0003964
"obese4cat"	3	1	1	.0003729
"obese4cat"	4	1	1	.0004422
"obese4cat"	1	0	2	.000218
"obese4cat"	2	0	2	.0003964
"obese4cat"	3	0	2	.0003729
"obese4cat"	4	0	2	.0004422
"obese4cat"	1	1	2	.000218
"obese4cat"	2	1	2	.0003964
"obese4cat"	3	1	2	.0003729
"obese4cat"	4	1	2	.0004422
"obese4cat"	1	0	3	.000218
"obese4cat"	2	0	3	.0003964
"obese4cat"	3	0	3	.0003729
"obese4cat"	4	0	3	.0004422
"obese4cat"	1	1	3	.000218
"obese4cat"	2	1	3	.0003964
"obese4cat"	3	1	3	.0003729
"obese4cat"	4	1	3	.0004422
"obese4cat"	1	0	4	.000218
"obese4cat"	2	0	4	.0003964
"obese4cat"	3	0	4	.0003729
"obese4cat"	4	0	4	.0004422
"obese4cat"	1	1	4	.000218
"obese4cat"	2	1	4	.0003964
"obese4cat"	3	1	4	.0003729
"obese4cat"	4	1	4	.0004422
"obese4cat"	1	0	5	.000218
"obese4cat"	2	0	5	.0003964
"obese4cat"	3	0	5	.0003729
"obese4cat"	4	0	5	.0004422
"obese4cat"	1	1	5	.000218
"obese4cat"	2	1	5	.0003964
"obese4cat"	3	1	5	.0003729
"obese4cat"	4	1	5	.0004422
"obese4cat"	1	0	6	.000218
"obese4cat"	2	0	6	.0003964
"obese4cat"	3	0	6	.0003729
"obese4cat"	4	0	6	.0004422
"obese4cat"	1	1	6	.000218
"obese4cat"	2	1	6	.0003964
"obese4cat"	3	1	6	.0003729
"obese4cat"	4	1	6	.0004422
"smoke_nomiss"	1	0	1	.0001445
"smoke_nomiss"	2	0	1	.000497
"smoke_nomiss"	3	0	1	.000081
"smoke_nomiss"	1	1	1	.0001445
"smoke_nomiss"	2	1	1	.000497
"smoke_nomiss"	3	1	1	.000081
"smoke_nomiss"	1	0	2	.0001445
"smoke_nomiss"	2	0	2	.000497
"smoke_nomiss"	3	0	2	.000081
"smoke_nomiss"	1	1	2	.0001445
"smoke_nomiss"	2	1	2	.000497
"smoke_nomiss"	3	1	2	.000081
"smoke_nomiss"	1	0	3	.0001445
"smoke_nomiss"	2	0	3	.000497
"smoke_nomiss"	3	0	3	.000081
"smoke_nomiss"	1	1	3	.0001445
"smoke_nomiss"	2	1	3	.000497
"smoke_nomiss"	3	1	3	.000081
"smoke_nomiss"	1	0	4	.0001445
"smoke_nomiss"	2	0	4	.000497
"smoke_nomiss"	3	0	4	.000081
"smoke_nomiss"	1	1	4	.0001445
"smoke_nomiss"	2	1	4	.000497
"smoke_nomiss"	3	1	4	.000081
"smoke_nomiss"	1	0	5	.0001445
"smoke_nomiss"	2	0	5	.000497
"smoke_nomiss"	3	0	5	.000081
"smoke_nomiss"	1	1	5	.0001445
"smoke_nomiss"	2	1	5	.000497
"smoke_nomiss"	3	1	5	.000081
"smoke_nomiss"	1	0	6	.0001445
"smoke_nomiss"	2	0	6	.000497
"smoke_nomiss"	3	0	6	.000081
"smoke_nomiss"	1	1	6	.0001445
"smoke_nomiss"	2	1	6	.000497
"smoke_nomiss"	3	1	6	.000081
"imd"	1	0	1	.0001763
"imd"	2	0	1	.0002136
"imd"	3	0	1	.0002275
"imd"	4	0	1	.0003201
"imd"	5	0	1	.0003556
"imd"	1	1	1	.0001763
"imd"	2	1	1	.0002136
"imd"	3	1	1	.0002275
"imd"	4	1	1	.0003201
"imd"	5	1	1	.0003556
"imd"	1	0	2	.0001763
"imd"	2	0	2	.0002136
"imd"	3	0	2	.0002275
"imd"	4	0	2	.0003201
"imd"	5	0	2	.0003556
"imd"	1	1	2	.0001763
"imd"	2	1	2	.0002136
"imd"	3	1	2	.0002275
"imd"	4	1	2	.0003201
"imd"	5	1	2	.0003556
"imd"	1	0	3	.0001763
"imd"	2	0	3	.0002136
"imd"	3	0	3	.0002275
"imd"	4	0	3	.0003201
"imd"	5	0	3	.0003556
"imd"	1	1	3	.0001763
"imd"	2	1	3	.0002136
"imd"	3	1	3	.0002275
"imd"	4	1	3	.0003201
"imd"	5	1	3	.0003556
"imd"	1	0	4	.0001763
"imd"	2	0	4	.0002136
"imd"	3	0	4	.0002275
"imd"	4	0	4	.0003201
"imd"	5	0	4	.0003556
"imd"	1	1	4	.0001763
"imd"	2	1	4	.0002136
"imd"	3	1	4	.0002275
"imd"	4	1	4	.0003201
"imd"	5	1	4	.0003556
"imd"	1	0	5	.0001763
"imd"	2	0	5	.0002136
"imd"	3	0	5	.0002275
"imd"	4	0	5	.0003201
"imd"	5	0	5	.0003556
"imd"	1	1	5	.0001763
"imd"	2	1	5	.0002136
"imd"	3	1	5	.0002275
"imd"	4	1	5	.0003201
"imd"	5	1	5	.0003556
"imd"	1	0	6	.0001763
"imd"	2	0	6	.0002136
"imd"	3	0	6	.0002275
"imd"	4	0	6	.0003201
"imd"	5	0	6	.0003556
"imd"	1	1	6	.0001763
"imd"	2	1	6	.0002136
"imd"	3	1	6	.0002275
"imd"	4	1	6	.0003201
"imd"	5	1	6	.0003556
"asthmacat"	1	0	1	.0002566
"asthmacat"	2	0	1	.0002248
"asthmacat"	3	0	1	.0006598
"asthmacat"	1	1	1	.0002566
"asthmacat"	2	1	1	.0002248
"asthmacat"	3	1	1	.0006598
"asthmacat"	1	0	2	.0002566
"asthmacat"	2	0	2	.0002248
"asthmacat"	3	0	2	.0006598
"asthmacat"	1	1	2	.0002566
"asthmacat"	2	1	2	.0002248
"asthmacat"	3	1	2	.0006598
"asthmacat"	1	0	3	.0002566
"asthmacat"	2	0	3	.0002248
"asthmacat"	3	0	3	.0006598
"asthmacat"	1	1	3	.0002566
"asthmacat"	2	1	3	.0002248
"asthmacat"	3	1	3	.0006598
"asthmacat"	1	0	4	.0002566
"asthmacat"	2	0	4	.0002248
"asthmacat"	3	0	4	.0006598
"asthmacat"	1	1	4	.0002566
"asthmacat"	2	1	4	.0002248
"asthmacat"	3	1	4	.0006598
"asthmacat"	1	0	5	.0002566
"asthmacat"	2	0	5	.0002248
"asthmacat"	3	0	5	.0006598
"asthmacat"	1	1	5	.0002566
"asthmacat"	2	1	5	.0002248
"asthmacat"	3	1	5	.0006598
"asthmacat"	1	0	6	.0002566
"asthmacat"	2	0	6	.0002248
"asthmacat"	3	0	6	.0006598
"asthmacat"	1	1	6	.0002566
"asthmacat"	2	1	6	.0002248
"asthmacat"	3	1	6	.0006598
"diabcat"	1	0	1	.000135
"diabcat"	2	0	1	.001099
"diabcat"	3	0	1	.0014657
"diabcat"	4	0	1	.0009618
"diabcat"	1	1	1	.000135
"diabcat"	2	1	1	.001099
"diabcat"	3	1	1	.0014657
"diabcat"	4	1	1	.0009618
"diabcat"	1	0	2	.000135
"diabcat"	2	0	2	.001099
"diabcat"	3	0	2	.0014657
"diabcat"	4	0	2	.0009618
"diabcat"	1	1	2	.000135
"diabcat"	2	1	2	.001099
"diabcat"	3	1	2	.0014657
"diabcat"	4	1	2	.0009618
"diabcat"	1	0	3	.000135
"diabcat"	2	0	3	.001099
"diabcat"	3	0	3	.0014657
"diabcat"	4	0	3	.0009618
"diabcat"	1	1	3	.000135
"diabcat"	2	1	3	.001099
"diabcat"	3	1	3	.0014657
"diabcat"	4	1	3	.0009618
"diabcat"	1	0	4	.000135
"diabcat"	2	0	4	.001099
"diabcat"	3	0	4	.0014657
"diabcat"	4	0	4	.0009618
"diabcat"	1	1	4	.000135
"diabcat"	2	1	4	.001099
"diabcat"	3	1	4	.0014657
"diabcat"	4	1	4	.0009618
"diabcat"	1	0	5	.000135
"diabcat"	2	0	5	.001099
"diabcat"	3	0	5	.0014657
"diabcat"	4	0	5	.0009618
"diabcat"	1	1	5	.000135
"diabcat"	2	1	5	.001099
"diabcat"	3	1	5	.0014657
"diabcat"	4	1	5	.0009618
"diabcat"	1	0	6	.000135
"diabcat"	2	0	6	.001099
"diabcat"	3	0	6	.0014657
"diabcat"	4	0	6	.0009618
"diabcat"	1	1	6	.000135
"diabcat"	2	1	6	.001099
"diabcat"	3	1	6	.0014657
"diabcat"	4	1	6	.0009618
"cancer_exhaem_cat"	1	0	1	.0002241
"cancer_exhaem_cat"	2	0	1	.0010164
"cancer_exhaem_cat"	3	0	1	.0008239
"cancer_exhaem_cat"	4	0	1	.0008962
"cancer_exhaem_cat"	1	1	1	.0002241
"cancer_exhaem_cat"	2	1	1	.0010164
"cancer_exhaem_cat"	3	1	1	.0008239
"cancer_exhaem_cat"	4	1	1	.0008962
"cancer_exhaem_cat"	1	0	2	.0002241
"cancer_exhaem_cat"	2	0	2	.0010164
"cancer_exhaem_cat"	3	0	2	.0008239
"cancer_exhaem_cat"	4	0	2	.0008962
"cancer_exhaem_cat"	1	1	2	.0002241
"cancer_exhaem_cat"	2	1	2	.0010164
"cancer_exhaem_cat"	3	1	2	.0008239
"cancer_exhaem_cat"	4	1	2	.0008962
"cancer_exhaem_cat"	1	0	3	.0002241
"cancer_exhaem_cat"	2	0	3	.0010164
"cancer_exhaem_cat"	3	0	3	.0008239
"cancer_exhaem_cat"	4	0	3	.0008962
"cancer_exhaem_cat"	1	1	3	.0002241
"cancer_exhaem_cat"	2	1	3	.0010164
"cancer_exhaem_cat"	3	1	3	.0008239
"cancer_exhaem_cat"	4	1	3	.0008962
"cancer_exhaem_cat"	1	0	4	.0002241
"cancer_exhaem_cat"	2	0	4	.0010164
"cancer_exhaem_cat"	3	0	4	.0008239
"cancer_exhaem_cat"	4	0	4	.0008962
"cancer_exhaem_cat"	1	1	4	.0002241
"cancer_exhaem_cat"	2	1	4	.0010164
"cancer_exhaem_cat"	3	1	4	.0008239
"cancer_exhaem_cat"	4	1	4	.0008962
"cancer_exhaem_cat"	1	0	5	.0002241
"cancer_exhaem_cat"	2	0	5	.0010164
"cancer_exhaem_cat"	3	0	5	.0008239
"cancer_exhaem_cat"	4	0	5	.0008962
"cancer_exhaem_cat"	1	1	5	.0002241
"cancer_exhaem_cat"	2	1	5	.0010164
"cancer_exhaem_cat"	3	1	5	.0008239
"cancer_exhaem_cat"	4	1	5	.0008962
"cancer_exhaem_cat"	1	0	6	.0002241
"cancer_exhaem_cat"	2	0	6	.0010164
"cancer_exhaem_cat"	3	0	6	.0008239
"cancer_exhaem_cat"	4	0	6	.0008962
"cancer_exhaem_cat"	1	1	6	.0002241
"cancer_exhaem_cat"	2	1	6	.0010164
"cancer_exhaem_cat"	3	1	6	.0008239
"cancer_exhaem_cat"	4	1	6	.0008962
"cancer_haem_cat"	1	0	1	.000246
"cancer_haem_cat"	2	0	1	.0019413
"cancer_haem_cat"	3	0	1	.0031921
"cancer_haem_cat"	4	0	1	.0015973
"cancer_haem_cat"	1	1	1	.000246
"cancer_haem_cat"	2	1	1	.0019413
"cancer_haem_cat"	3	1	1	.0031921
"cancer_haem_cat"	4	1	1	.0015973
"cancer_haem_cat"	1	0	2	.000246
"cancer_haem_cat"	2	0	2	.0019413
"cancer_haem_cat"	3	0	2	.0031921
"cancer_haem_cat"	4	0	2	.0015973
"cancer_haem_cat"	1	1	2	.000246
"cancer_haem_cat"	2	1	2	.0019413
"cancer_haem_cat"	3	1	2	.0031921
"cancer_haem_cat"	4	1	2	.0015973
"cancer_haem_cat"	1	0	3	.000246
"cancer_haem_cat"	2	0	3	.0019413
"cancer_haem_cat"	3	0	3	.0031921
"cancer_haem_cat"	4	0	3	.0015973
"cancer_haem_cat"	1	1	3	.000246
"cancer_haem_cat"	2	1	3	.0019413
"cancer_haem_cat"	3	1	3	.0031921
"cancer_haem_cat"	4	1	3	.0015973
"cancer_haem_cat"	1	0	4	.000246
"cancer_haem_cat"	2	0	4	.0019413
"cancer_haem_cat"	3	0	4	.0031921
"cancer_haem_cat"	4	0	4	.0015973
"cancer_haem_cat"	1	1	4	.000246
"cancer_haem_cat"	2	1	4	.0019413
"cancer_haem_cat"	3	1	4	.0031921
"cancer_haem_cat"	4	1	4	.0015973
"cancer_haem_cat"	1	0	5	.000246
"cancer_haem_cat"	2	0	5	.0019413
"cancer_haem_cat"	3	0	5	.0031921
"cancer_haem_cat"	4	0	5	.0015973
"cancer_haem_cat"	1	1	5	.000246
"cancer_haem_cat"	2	1	5	.0019413
"cancer_haem_cat"	3	1	5	.0031921
"cancer_haem_cat"	4	1	5	.0015973
"cancer_haem_cat"	1	0	6	.000246
"cancer_haem_cat"	2	0	6	.0019413
"cancer_haem_cat"	3	0	6	.0031921
"cancer_haem_cat"	4	0	6	.0015973
"cancer_haem_cat"	1	1	6	.000246
"cancer_haem_cat"	2	1	6	.0019413
"cancer_haem_cat"	3	1	6	.0031921
"cancer_haem_cat"	4	1	6	.0015973
"reduced_kidney_function_cat"	1	0	1	.0001163
"reduced_kidney_function_cat"	2	0	1	.0015366
"reduced_kidney_function_cat"	3	0	1	.0058611
"reduced_kidney_function_cat"	1	1	1	.0001163
"reduced_kidney_function_cat"	2	1	1	.0015366
"reduced_kidney_function_cat"	3	1	1	.0058611
"reduced_kidney_function_cat"	1	0	2	.0001163
"reduced_kidney_function_cat"	2	0	2	.0015366
"reduced_kidney_function_cat"	3	0	2	.0058611
"reduced_kidney_function_cat"	1	1	2	.0001163
"reduced_kidney_function_cat"	2	1	2	.0015366
"reduced_kidney_function_cat"	3	1	2	.0058611
"reduced_kidney_function_cat"	1	0	3	.0001163
"reduced_kidney_function_cat"	2	0	3	.0015366
"reduced_kidney_function_cat"	3	0	3	.0058611
"reduced_kidney_function_cat"	1	1	3	.0001163
"reduced_kidney_function_cat"	2	1	3	.0015366
"reduced_kidney_function_cat"	3	1	3	.0058611
"reduced_kidney_function_cat"	1	0	4	.0001163
"reduced_kidney_function_cat"	2	0	4	.0015366
"reduced_kidney_function_cat"	3	0	4	.0058611
"reduced_kidney_function_cat"	1	1	4	.0001163
"reduced_kidney_function_cat"	2	1	4	.0015366
"reduced_kidney_function_cat"	3	1	4	.0058611
"reduced_kidney_function_cat"	1	0	5	.0001163
"reduced_kidney_function_cat"	2	0	5	.0015366
"reduced_kidney_function_cat"	3	0	5	.0058611
"reduced_kidney_function_cat"	1	1	5	.0001163
"reduced_kidney_function_cat"	2	1	5	.0015366
"reduced_kidney_function_cat"	3	1	5	.0058611
"reduced_kidney_function_cat"	1	0	6	.0001163
"reduced_kidney_function_cat"	2	0	6	.0015366
"reduced_kidney_function_cat"	3	0	6	.0058611
"reduced_kidney_function_cat"	1	1	6	.0001163
"reduced_kidney_function_cat"	2	1	6	.0015366
"reduced_kidney_function_cat"	3	1	6	.0058611
"Smoking, comorb=0"	1	0	1	.0000166
"Smoking, comorb=1"	1	0	1	.0003231
"Smoking, comorb=0"	2	0	1	.0000341
"Smoking, comorb=1"	2	0	1	.0007794
"Smoking, comorb=0"	3	0	1	.0000119
"Smoking, comorb=1"	3	0	1	.0001737
"Smoking, comorb=0"	1	1	1	.0000166
"Smoking, comorb=1"	1	1	1	.0003231
"Smoking, comorb=0"	2	1	1	.0000341
"Smoking, comorb=1"	2	1	1	.0007794
"Smoking, comorb=0"	3	1	1	.0000119
"Smoking, comorb=1"	3	1	1	.0001737
"Smoking, comorb=0"	1	0	2	.0000166
"Smoking, comorb=1"	1	0	2	.0003231
"Smoking, comorb=0"	2	0	2	.0000341
"Smoking, comorb=1"	2	0	2	.0007794
"Smoking, comorb=0"	3	0	2	.0000119
"Smoking, comorb=1"	3	0	2	.0001737
"Smoking, comorb=0"	1	1	2	.0000166
"Smoking, comorb=1"	1	1	2	.0003231
"Smoking, comorb=0"	2	1	2	.0000341
"Smoking, comorb=1"	2	1	2	.0007794
"Smoking, comorb=0"	3	1	2	.0000119
"Smoking, comorb=1"	3	1	2	.0001737
"Smoking, comorb=0"	1	0	3	.0000166
"Smoking, comorb=1"	1	0	3	.0003231
"Smoking, comorb=0"	2	0	3	.0000341
"Smoking, comorb=1"	2	0	3	.0007794
"Smoking, comorb=0"	3	0	3	.0000119
"Smoking, comorb=1"	3	0	3	.0001737
"Smoking, comorb=0"	1	1	3	.0000166
"Smoking, comorb=1"	1	1	3	.0003231
"Smoking, comorb=0"	2	1	3	.0000341
"Smoking, comorb=1"	2	1	3	.0007794
"Smoking, comorb=0"	3	1	3	.0000119
"Smoking, comorb=1"	3	1	3	.0001737
"Smoking, comorb=0"	1	0	4	.0000166
"Smoking, comorb=1"	1	0	4	.0003231
"Smoking, comorb=0"	2	0	4	.0000341
"Smoking, comorb=1"	2	0	4	.0007794
"Smoking, comorb=0"	3	0	4	.0000119
"Smoking, comorb=1"	3	0	4	.0001737
"Smoking, comorb=0"	1	1	4	.0000166
"Smoking, comorb=1"	1	1	4	.0003231
"Smoking, comorb=0"	2	1	4	.0000341
"Smoking, comorb=1"	2	1	4	.0007794
"Smoking, comorb=0"	3	1	4	.0000119
"Smoking, comorb=1"	3	1	4	.0001737
"Smoking, comorb=0"	1	0	5	.0000166
"Smoking, comorb=1"	1	0	5	.0003231
"Smoking, comorb=0"	2	0	5	.0000341
"Smoking, comorb=1"	2	0	5	.0007794
"Smoking, comorb=0"	3	0	5	.0000119
"Smoking, comorb=1"	3	0	5	.0001737
