rf	rfcat	sex	age	risk28
"htdiag_or_highbp"	0	0	1	.0000841
"htdiag_or_highbp"	1	0	1	.000572
"htdiag_or_highbp"	0	1	1	.0000841
"htdiag_or_highbp"	1	1	1	.000572
"htdiag_or_highbp"	0	0	2	.0000841
"htdiag_or_highbp"	1	0	2	.000572
"htdiag_or_highbp"	0	1	2	.0000841
"htdiag_or_highbp"	1	1	2	.000572
"htdiag_or_highbp"	0	0	3	.0000841
"htdiag_or_highbp"	1	0	3	.000572
"htdiag_or_highbp"	0	1	3	.0000841
"htdiag_or_highbp"	1	1	3	.000572
"htdiag_or_highbp"	0	0	4	.0000841
"htdiag_or_highbp"	1	0	4	.000572
"htdiag_or_highbp"	0	1	4	.0000841
"htdiag_or_highbp"	1	1	4	.000572
"htdiag_or_highbp"	0	0	5	.0000841
"htdiag_or_highbp"	1	0	5	.000572
"htdiag_or_highbp"	0	1	5	.0000841
"htdiag_or_highbp"	1	1	5	.000572
"htdiag_or_highbp"	0	0	6	.0000841
"htdiag_or_highbp"	1	0	6	.000572
"htdiag_or_highbp"	0	1	6	.0000841
"htdiag_or_highbp"	1	1	6	.000572
"chronic_respiratory_disease"	0	0	1	.0001891
"chronic_respiratory_disease"	1	0	1	.0015836
"chronic_respiratory_disease"	0	1	1	.0001891
"chronic_respiratory_disease"	1	1	1	.0015836
"chronic_respiratory_disease"	0	0	2	.0001891
"chronic_respiratory_disease"	1	0	2	.0015836
"chronic_respiratory_disease"	0	1	2	.0001891
"chronic_respiratory_disease"	1	1	2	.0015836
"chronic_respiratory_disease"	0	0	3	.0001891
"chronic_respiratory_disease"	1	0	3	.0015836
"chronic_respiratory_disease"	0	1	3	.0001891
"chronic_respiratory_disease"	1	1	3	.0015836
"chronic_respiratory_disease"	0	0	4	.0001891
"chronic_respiratory_disease"	1	0	4	.0015836
"chronic_respiratory_disease"	0	1	4	.0001891
"chronic_respiratory_disease"	1	1	4	.0015836
"chronic_respiratory_disease"	0	0	5	.0001891
"chronic_respiratory_disease"	1	0	5	.0015836
"chronic_respiratory_disease"	0	1	5	.0001891
"chronic_respiratory_disease"	1	1	5	.0015836
"chronic_respiratory_disease"	0	0	6	.0001891
"chronic_respiratory_disease"	1	0	6	.0015836
"chronic_respiratory_disease"	0	1	6	.0001891
"chronic_respiratory_disease"	1	1	6	.0015836
"chronic_cardiac_disease"	0	0	1	.0001506
"chronic_cardiac_disease"	1	0	1	.0015133
"chronic_cardiac_disease"	0	1	1	.0001506
"chronic_cardiac_disease"	1	1	1	.0015133
"chronic_cardiac_disease"	0	0	2	.0001506
"chronic_cardiac_disease"	1	0	2	.0015133
"chronic_cardiac_disease"	0	1	2	.0001506
"chronic_cardiac_disease"	1	1	2	.0015133
"chronic_cardiac_disease"	0	0	3	.0001506
"chronic_cardiac_disease"	1	0	3	.0015133
"chronic_cardiac_disease"	0	1	3	.0001506
"chronic_cardiac_disease"	1	1	3	.0015133
"chronic_cardiac_disease"	0	0	4	.0001506
"chronic_cardiac_disease"	1	0	4	.0015133
"chronic_cardiac_disease"	0	1	4	.0001506
"chronic_cardiac_disease"	1	1	4	.0015133
"chronic_cardiac_disease"	0	0	5	.0001506
"chronic_cardiac_disease"	1	0	5	.0015133
"chronic_cardiac_disease"	0	1	5	.0001506
"chronic_cardiac_disease"	1	1	5	.0015133
"chronic_cardiac_disease"	0	0	6	.0001506
"chronic_cardiac_disease"	1	0	6	.0015133
"chronic_cardiac_disease"	0	1	6	.0001506
"chronic_cardiac_disease"	1	1	6	.0015133
"chronic_liver_disease"	0	0	1	.0002542
"chronic_liver_disease"	1	0	1	.0010111
"chronic_liver_disease"	0	1	1	.0002542
"chronic_liver_disease"	1	1	1	.0010111
"chronic_liver_disease"	0	0	2	.0002542
"chronic_liver_disease"	1	0	2	.0010111
"chronic_liver_disease"	0	1	2	.0002542
"chronic_liver_disease"	1	1	2	.0010111
"chronic_liver_disease"	0	0	3	.0002542
"chronic_liver_disease"	1	0	3	.0010111
"chronic_liver_disease"	0	1	3	.0002542
"chronic_liver_disease"	1	1	3	.0010111
"chronic_liver_disease"	0	0	4	.0002542
"chronic_liver_disease"	1	0	4	.0010111
"chronic_liver_disease"	0	1	4	.0002542
"chronic_liver_disease"	1	1	4	.0010111
"chronic_liver_disease"	0	0	5	.0002542
"chronic_liver_disease"	1	0	5	.0010111
"chronic_liver_disease"	0	1	5	.0002542
"chronic_liver_disease"	1	1	5	.0010111
"chronic_liver_disease"	0	0	6	.0002542
"chronic_liver_disease"	1	0	6	.0010111
"chronic_liver_disease"	0	1	6	.0002542
"chronic_liver_disease"	1	1	6	.0010111
"stroke_dementia"	0	0	1	.0002027
"stroke_dementia"	1	0	1	.0022744
"stroke_dementia"	0	1	1	.0002027
"stroke_dementia"	1	1	1	.0022744
"stroke_dementia"	0	0	2	.0002027
"stroke_dementia"	1	0	2	.0022744
"stroke_dementia"	0	1	2	.0002027
"stroke_dementia"	1	1	2	.0022744
"stroke_dementia"	0	0	3	.0002027
"stroke_dementia"	1	0	3	.0022744
"stroke_dementia"	0	1	3	.0002027
"stroke_dementia"	1	1	3	.0022744
"stroke_dementia"	0	0	4	.0002027
"stroke_dementia"	1	0	4	.0022744
"stroke_dementia"	0	1	4	.0002027
"stroke_dementia"	1	1	4	.0022744
"stroke_dementia"	0	0	5	.0002027
"stroke_dementia"	1	0	5	.0022744
"stroke_dementia"	0	1	5	.0002027
"stroke_dementia"	1	1	5	.0022744
"stroke_dementia"	0	0	6	.0002027
"stroke_dementia"	1	0	6	.0022744
"stroke_dementia"	0	1	6	.0002027
"stroke_dementia"	1	1	6	.0022744
"other_neuro"	0	0	1	.0002453
"other_neuro"	1	0	1	.0014807
"other_neuro"	0	1	1	.0002453
"other_neuro"	1	1	1	.0014807
"other_neuro"	0	0	2	.0002453
"other_neuro"	1	0	2	.0014807
"other_neuro"	0	1	2	.0002453
"other_neuro"	1	1	2	.0014807
"other_neuro"	0	0	3	.0002453
"other_neuro"	1	0	3	.0014807
"other_neuro"	0	1	3	.0002453
"other_neuro"	1	1	3	.0014807
"other_neuro"	0	0	4	.0002453
"other_neuro"	1	0	4	.0014807
"other_neuro"	0	1	4	.0002453
"other_neuro"	1	1	4	.0014807
"other_neuro"	0	0	5	.0002453
"other_neuro"	1	0	5	.0014807
"other_neuro"	0	1	5	.0002453
"other_neuro"	1	1	5	.0014807
"other_neuro"	0	0	6	.0002453
"other_neuro"	1	0	6	.0014807
"other_neuro"	0	1	6	.0002453
"other_neuro"	1	1	6	.0014807
"organ_transplant"	0	0	1	.0002556
"organ_transplant"	1	0	1	.0029547
"organ_transplant"	0	1	1	.0002556
"organ_transplant"	1	1	1	.0029547
"organ_transplant"	0	0	2	.0002556
"organ_transplant"	1	0	2	.0029547
"organ_transplant"	0	1	2	.0002556
"organ_transplant"	1	1	2	.0029547
"organ_transplant"	0	0	3	.0002556
"organ_transplant"	1	0	3	.0029547
"organ_transplant"	0	1	3	.0002556
"organ_transplant"	1	1	3	.0029547
"organ_transplant"	0	0	4	.0002556
"organ_transplant"	1	0	4	.0029547
"organ_transplant"	0	1	4	.0002556
"organ_transplant"	1	1	4	.0029547
"organ_transplant"	0	0	5	.0002556
"organ_transplant"	1	0	5	.0029547
"organ_transplant"	0	1	5	.0002556
"organ_transplant"	1	1	5	.0029547
"organ_transplant"	0	0	6	.0002556
"organ_transplant"	1	0	6	.0029547
"organ_transplant"	0	1	6	.0002556
"organ_transplant"	1	1	6	.0029547
"spleen"	0	0	1	.000259
"spleen"	1	0	1	.0006675
"spleen"	0	1	1	.000259
"spleen"	1	1	1	.0006675
"spleen"	0	0	2	.000259
"spleen"	1	0	2	.0006675
"spleen"	0	1	2	.000259
"spleen"	1	1	2	.0006675
"spleen"	0	0	3	.000259
"spleen"	1	0	3	.0006675
"spleen"	0	1	3	.000259
"spleen"	1	1	3	.0006675
"spleen"	0	0	4	.000259
"spleen"	1	0	4	.0006675
"spleen"	0	1	4	.000259
"spleen"	1	1	4	.0006675
"spleen"	0	0	5	.000259
"spleen"	1	0	5	.0006675
"spleen"	0	1	5	.000259
"spleen"	1	1	5	.0006675
"spleen"	0	0	6	.000259
"spleen"	1	0	6	.0006675
"spleen"	0	1	6	.000259
"spleen"	1	1	6	.0006675
"ra_sle_psoriasis"	0	0	1	.0002491
