rf,rfcat,sex,age,risk30,risk60,risk80
"chronic_liver_disease",1,0,1,.0009734,.0009734,.0009734
"chronic_liver_disease",0,1,1,.0003218,.0003218,.0003218
"chronic_liver_disease",1,1,1,.0009734,.0009734,.0009734
"chronic_liver_disease",0,0,2,.0003218,.0003218,.0003218
"chronic_liver_disease",1,0,2,.0009734,.0009734,.0009734
"chronic_liver_disease",0,1,2,.0003218,.0003218,.0003218
"chronic_liver_disease",1,1,2,.0009734,.0009734,.0009734
"chronic_liver_disease",0,0,3,.0003218,.0003218,.0003218
"chronic_liver_disease",1,0,3,.0009734,.0009734,.0009734
"chronic_liver_disease",0,1,3,.0003218,.0003218,.0003218
"chronic_liver_disease",1,1,3,.0009734,.0009734,.0009734
"chronic_liver_disease",0,0,4,.0003218,.0003218,.0003218
"chronic_liver_disease",1,0,4,.0009734,.0009734,.0009734
"chronic_liver_disease",0,1,4,.0003218,.0003218,.0003218
"chronic_liver_disease",1,1,4,.0009734,.0009734,.0009734
"chronic_liver_disease",0,0,5,.0003218,.0003218,.0003218
"chronic_liver_disease",1,0,5,.0009734,.0009734,.0009734
"chronic_liver_disease",0,1,5,.0003218,.0003218,.0003218
"chronic_liver_disease",1,1,5,.0009734,.0009734,.0009734
"chronic_liver_disease",0,0,6,.0003218,.0003218,.0003218
"chronic_liver_disease",1,0,6,.0009734,.0009734,.0009734
"chronic_liver_disease",0,1,6,.0003218,.0003218,.0003218
"chronic_liver_disease",1,1,6,.0009734,.0009734,.0009734
"stroke_dementia",0,0,1,.000275,.000275,.000275
"stroke_dementia",1,0,1,.0026521,.0026521,.0026521
"stroke_dementia",0,1,1,.000275,.000275,.000275
"stroke_dementia",1,1,1,.0026521,.0026521,.0026521
"stroke_dementia",0,0,2,.000275,.000275,.000275
"stroke_dementia",1,0,2,.0026521,.0026521,.0026521
"stroke_dementia",0,1,2,.000275,.000275,.000275
"stroke_dementia",1,1,2,.0026521,.0026521,.0026521
"stroke_dementia",0,0,3,.000275,.000275,.000275
"stroke_dementia",1,0,3,.0026521,.0026521,.0026521
"stroke_dementia",0,1,3,.000275,.000275,.000275
"stroke_dementia",1,1,3,.0026521,.0026521,.0026521
"stroke_dementia",0,0,4,.000275,.000275,.000275
"stroke_dementia",1,0,4,.0026521,.0026521,.0026521
"stroke_dementia",0,1,4,.000275,.000275,.000275
"stroke_dementia",1,1,4,.0026521,.0026521,.0026521
"stroke_dementia",0,0,5,.000275,.000275,.000275
"stroke_dementia",1,0,5,.0026521,.0026521,.0026521
"stroke_dementia",0,1,5,.000275,.000275,.000275
"stroke_dementia",1,1,5,.0026521,.0026521,.0026521
"stroke_dementia",0,0,6,.000275,.000275,.000275
"stroke_dementia",1,0,6,.0026521,.0026521,.0026521
"stroke_dementia",0,1,6,.000275,.000275,.000275
"stroke_dementia",1,1,6,.0026521,.0026521,.0026521
"other_neuro",0,0,1,.0003113,.0003113,.0003113
"other_neuro",1,0,1,.001814,.001814,.001814
"other_neuro",0,1,1,.0003113,.0003113,.0003113
"other_neuro",1,1,1,.001814,.001814,.001814
"other_neuro",0,0,2,.0003113,.0003113,.0003113
"other_neuro",1,0,2,.001814,.001814,.001814
"other_neuro",0,1,2,.0003113,.0003113,.0003113
"other_neuro",1,1,2,.001814,.001814,.001814
"other_neuro",0,0,3,.0003113,.0003113,.0003113
"other_neuro",1,0,3,.001814,.001814,.001814
"other_neuro",0,1,3,.0003113,.0003113,.0003113
"other_neuro",1,1,3,.001814,.001814,.001814
"other_neuro",0,0,4,.0003113,.0003113,.0003113
"other_neuro",1,0,4,.001814,.001814,.001814
"other_neuro",0,1,4,.0003113,.0003113,.0003113
"other_neuro",1,1,4,.001814,.001814,.001814
"other_neuro",0,0,5,.0003113,.0003113,.0003113
"other_neuro",1,0,5,.001814,.001814,.001814
"other_neuro",0,1,5,.0003113,.0003113,.0003113
"other_neuro",1,1,5,.001814,.001814,.001814
"other_neuro",0,0,6,.0003113,.0003113,.0003113
"other_neuro",1,0,6,.001814,.001814,.001814
"other_neuro",0,1,6,.0003113,.0003113,.0003113
"other_neuro",1,1,6,.001814,.001814,.001814
"organ_transplant",0,0,1,.0003237,.0003237,.0003237
"organ_transplant",1,0,1,.0024288,.0024288,.0024288
"organ_transplant",0,1,1,.0003237,.0003237,.0003237
"organ_transplant",1,1,1,.0024288,.0024288,.0024288
"organ_transplant",0,0,2,.0003237,.0003237,.0003237
"organ_transplant",1,0,2,.0024288,.0024288,.0024288
"organ_transplant",0,1,2,.0003237,.0003237,.0003237
"organ_transplant",1,1,2,.0024288,.0024288,.0024288
"organ_transplant",0,0,3,.0003237,.0003237,.0003237
"organ_transplant",1,0,3,.0024288,.0024288,.0024288
"organ_transplant",0,1,3,.0003237,.0003237,.0003237
"organ_transplant",1,1,3,.0024288,.0024288,.0024288
"organ_transplant",0,0,4,.0003237,.0003237,.0003237
"organ_transplant",1,0,4,.0024288,.0024288,.0024288
"organ_transplant",0,1,4,.0003237,.0003237,.0003237
"organ_transplant",1,1,4,.0024288,.0024288,.0024288
"organ_transplant",0,0,5,.0003237,.0003237,.0003237
"organ_transplant",1,0,5,.0024288,.0024288,.0024288
"organ_transplant",0,1,5,.0003237,.0003237,.0003237
"organ_transplant",1,1,5,.0024288,.0024288,.0024288
"organ_transplant",0,0,6,.0003237,.0003237,.0003237
"organ_transplant",1,0,6,.0024288,.0024288,.0024288
"organ_transplant",0,1,6,.0003237,.0003237,.0003237
"organ_transplant",1,1,6,.0024288,.0024288,.0024288
"spleen",0,0,1,.0003253,.0003253,.0003253
"spleen",1,0,1,.0008203,.0008203,.0008203
"spleen",0,1,1,.0003253,.0003253,.0003253
"spleen",1,1,1,.0008203,.0008203,.0008203
"spleen",0,0,2,.0003253,.0003253,.0003253
"spleen",1,0,2,.0008203,.0008203,.0008203
"spleen",0,1,2,.0003253,.0003253,.0003253
"spleen",1,1,2,.0008203,.0008203,.0008203
"spleen",0,0,3,.0003253,.0003253,.0003253
"spleen",1,0,3,.0008203,.0008203,.0008203
"spleen",0,1,3,.0003253,.0003253,.0003253
"spleen",1,1,3,.0008203,.0008203,.0008203
"spleen",0,0,4,.0003253,.0003253,.0003253
"spleen",1,0,4,.0008203,.0008203,.0008203
"spleen",0,1,4,.0003253,.0003253,.0003253
"spleen",1,1,4,.0008203,.0008203,.0008203
"spleen",0,0,5,.0003253,.0003253,.0003253
"spleen",1,0,5,.0008203,.0008203,.0008203
"spleen",0,1,5,.0003253,.0003253,.0003253
"spleen",1,1,5,.0008203,.0008203,.0008203
"spleen",0,0,6,.0003253,.0003253,.0003253
"spleen",1,0,6,.0008203,.0008203,.0008203
"spleen",0,1,6,.0003253,.0003253,.0003253
"spleen",1,1,6,.0008203,.0008203,.0008203
"ra_sle_psoriasis",0,0,1,.0003117,.0003117,.0003117
"ra_sle_psoriasis",1,0,1,.0005957,.0005957,.0005957
"ra_sle_psoriasis",0,1,1,.0003117,.0003117,.0003117
"ra_sle_psoriasis",1,1,1,.0005957,.0005957,.0005957
"ra_sle_psoriasis",0,0,2,.0003117,.0003117,.0003117
"ra_sle_psoriasis",1,0,2,.0005957,.0005957,.0005957
"ra_sle_psoriasis",0,1,2,.0003117,.0003117,.0003117
"ra_sle_psoriasis",1,1,2,.0005957,.0005957,.0005957
"ra_sle_psoriasis",0,0,3,.0003117,.0003117,.0003117
"ra_sle_psoriasis",1,0,3,.0005957,.0005957,.0005957
"ra_sle_psoriasis",0,1,3,.0003117,.0003117,.0003117
"ra_sle_psoriasis",1,1,3,.0005957,.0005957,.0005957
"ra_sle_psoriasis",0,0,4,.0003117,.0003117,.0003117
"ra_sle_psoriasis",1,0,4,.0005957,.0005957,.0005957
"ra_sle_psoriasis",0,1,4,.0003117,.0003117,.0003117
"ra_sle_psoriasis",1,1,4,.0005957,.0005957,.0005957
"ra_sle_psoriasis",0,0,5,.0003117,.0003117,.0003117
"ra_sle_psoriasis",1,0,5,.0005957,.0005957,.0005957
"ra_sle_psoriasis",0,1,5,.0003117,.0003117,.0003117
"ra_sle_psoriasis",1,1,5,.0005957,.0005957,.0005957
"ra_sle_psoriasis",0,0,6,.0003117,.0003117,.0003117
"ra_sle_psoriasis",1,0,6,.0005957,.0005957,.0005957
"ra_sle_psoriasis",0,1,6,.0003117,.0003117,.0003117
"ra_sle_psoriasis",1,1,6,.0005957,.0005957,.0005957
"other_immunosuppression",0,0,1,.0003289,.0003289,.0003289
"other_immunosuppression",1,0,1,.0001567,.0001567,.0001567
"other_immunosuppression",0,1,1,.0003289,.0003289,.0003289
"other_immunosuppression",1,1,1,.0001567,.0001567,.0001567
"other_immunosuppression",0,0,2,.0003289,.0003289,.0003289
"other_immunosuppression",1,0,2,.0001567,.0001567,.0001567
"other_immunosuppression",0,1,2,.0003289,.0003289,.0003289
"other_immunosuppression",1,1,2,.0001567,.0001567,.0001567
"other_immunosuppression",0,0,3,.0003289,.0003289,.0003289
"other_immunosuppression",1,0,3,.0001567,.0001567,.0001567
"other_immunosuppression",0,1,3,.0003289,.0003289,.0003289
"other_immunosuppression",1,1,3,.0001567,.0001567,.0001567
"other_immunosuppression",0,0,4,.0003289,.0003289,.0003289
"other_immunosuppression",1,0,4,.0001567,.0001567,.0001567
"other_immunosuppression",0,1,4,.0003289,.0003289,.0003289
"other_immunosuppression",1,1,4,.0001567,.0001567,.0001567
"other_immunosuppression",0,0,5,.0003289,.0003289,.0003289
"other_immunosuppression",1,0,5,.0001567,.0001567,.0001567
"other_immunosuppression",0,1,5,.0003289,.0003289,.0003289
"other_immunosuppression",1,1,5,.0001567,.0001567,.0001567
"other_immunosuppression",0,0,6,.0003289,.0003289,.0003289
"other_immunosuppression",1,0,6,.0001567,.0001567,.0001567
"other_immunosuppression",0,1,6,.0003289,.0003289,.0003289
"other_immunosuppression",1,1,6,.0001567,.0001567,.0001567
"obese4cat",1,0,1,.0002788,.0002788,.0002788
"obese4cat",2,0,1,.0004833,.0004833,.0004833
"obese4cat",3,0,1,.0005014,.0005014,.0005014
"obese4cat",4,0,1,.0005488,.0005488,.0005488
"obese4cat",1,1,1,.0002788,.0002788,.0002788
"obese4cat",2,1,1,.0004833,.0004833,.0004833
"obese4cat",3,1,1,.0005014,.0005014,.0005014
"obese4cat",4,1,1,.0005488,.0005488,.0005488
"obese4cat",1,0,2,.0002788,.0002788,.0002788
"obese4cat",2,0,2,.0004833,.0004833,.0004833
"obese4cat",3,0,2,.0005014,.0005014,.0005014
"obese4cat",4,0,2,.0005488,.0005488,.0005488
"obese4cat",1,1,2,.0002788,.0002788,.0002788
"obese4cat",2,1,2,.0004833,.0004833,.0004833
"obese4cat",3,1,2,.0005014,.0005014,.0005014
"obese4cat",4,1,2,.0005488,.0005488,.0005488
"obese4cat",1,0,3,.0002788,.0002788,.0002788
"obese4cat",2,0,3,.0004833,.0004833,.0004833
"obese4cat",3,0,3,.0005014,.0005014,.0005014
"obese4cat",4,0,3,.0005488,.0005488,.0005488
"obese4cat",1,1,3,.0002788,.0002788,.0002788
"obese4cat",2,1,3,.0004833,.0004833,.0004833
"obese4cat",3,1,3,.0005014,.0005014,.0005014
"obese4cat",4,1,3,.0005488,.0005488,.0005488
"obese4cat",1,0,4,.0002788,.0002788,.0002788
"obese4cat",2,0,4,.0004833,.0004833,.0004833
"obese4cat",3,0,4,.0005014,.0005014,.0005014
"obese4cat",4,0,4,.0005488,.0005488,.0005488
"obese4cat",1,1,4,.0002788,.0002788,.0002788
"obese4cat",2,1,4,.0004833,.0004833,.0004833
"obese4cat",3,1,4,.0005014,.0005014,.0005014
"obese4cat",4,1,4,.0005488,.0005488,.0005488
"obese4cat",1,0,5,.0002788,.0002788,.0002788
"obese4cat",2,0,5,.0004833,.0004833,.0004833
"obese4cat",3,0,5,.0005014,.0005014,.0005014
"obese4cat",4,0,5,.0005488,.0005488,.0005488
"obese4cat",1,1,5,.0002788,.0002788,.0002788
"obese4cat",2,1,5,.0004833,.0004833,.0004833
"obese4cat",3,1,5,.0005014,.0005014,.0005014
"obese4cat",4,1,5,.0005488,.0005488,.0005488
"obese4cat",1,0,6,.0002788,.0002788,.0002788
"obese4cat",2,0,6,.0004833,.0004833,.0004833
"obese4cat",3,0,6,.0005014,.0005014,.0005014
"obese4cat",4,0,6,.0005488,.0005488,.0005488
"obese4cat",1,1,6,.0002788,.0002788,.0002788
"obese4cat",2,1,6,.0004833,.0004833,.0004833
"obese4cat",3,1,6,.0005014,.0005014,.0005014
"obese4cat",4,1,6,.0005488,.0005488,.0005488
"smoke_nomiss",1,0,1,.0002022,.0002022,.0002022
"smoke_nomiss",2,0,1,.0006141,.0006141,.0006141
"smoke_nomiss",3,0,1,.0001331,.0001331,.0001331
"smoke_nomiss",1,1,1,.0002022,.0002022,.0002022
"smoke_nomiss",2,1,1,.0006141,.0006141,.0006141
"smoke_nomiss",3,1,1,.0001331,.0001331,.0001331
"smoke_nomiss",1,0,2,.0002022,.0002022,.0002022
"smoke_nomiss",2,0,2,.0006141,.0006141,.0006141
"smoke_nomiss",3,0,2,.0001331,.0001331,.0001331
"smoke_nomiss",1,1,2,.0002022,.0002022,.0002022
"smoke_nomiss",2,1,2,.0006141,.0006141,.0006141
"smoke_nomiss",3,1,2,.0001331,.0001331,.0001331
"smoke_nomiss",1,0,3,.0002022,.0002022,.0002022
"smoke_nomiss",2,0,3,.0006141,.0006141,.0006141
"smoke_nomiss",3,0,3,.0001331,.0001331,.0001331
"smoke_nomiss",1,1,3,.0002022,.0002022,.0002022
"smoke_nomiss",2,1,3,.0006141,.0006141,.0006141
"smoke_nomiss",3,1,3,.0001331,.0001331,.0001331
"smoke_nomiss",1,0,4,.0002022,.0002022,.0002022
"smoke_nomiss",2,0,4,.0006141,.0006141,.0006141
"smoke_nomiss",3,0,4,.0001331,.0001331,.0001331
"smoke_nomiss",1,1,4,.0002022,.0002022,.0002022
"smoke_nomiss",2,1,4,.0006141,.0006141,.0006141
"smoke_nomiss",3,1,4,.0001331,.0001331,.0001331
"smoke_nomiss",1,0,5,.0002022,.0002022,.0002022
"smoke_nomiss",2,0,5,.0006141,.0006141,.0006141
"smoke_nomiss",3,0,5,.0001331,.0001331,.0001331
"smoke_nomiss",1,1,5,.0002022,.0002022,.0002022
"smoke_nomiss",2,1,5,.0006141,.0006141,.0006141
"smoke_nomiss",3,1,5,.0001331,.0001331,.0001331
"smoke_nomiss",1,0,6,.0002022,.0002022,.0002022
"smoke_nomiss",2,0,6,.0006141,.0006141,.0006141
"smoke_nomiss",3,0,6,.0001331,.0001331,.0001331
"smoke_nomiss",1,1,6,.0002022,.0002022,.0002022
"smoke_nomiss",2,1,6,.0006141,.0006141,.0006141
"smoke_nomiss",3,1,6,.0001331,.0001331,.0001331
"imd",1,0,1,.0002705,.0002705,.0002705
"imd",2,0,1,.0002984,.0002984,.0002984
"imd",3,0,1,.0003153,.0003153,.0003153
"imd",4,0,1,.0003569,.0003569,.0003569
"imd",5,0,1,.0003925,.0003925,.0003925
"imd",1,1,1,.0002705,.0002705,.0002705
"imd",2,1,1,.0002984,.0002984,.0002984
"imd",3,1,1,.0003153,.0003153,.0003153
"imd",4,1,1,.0003569,.0003569,.0003569
"imd",5,1,1,.0003925,.0003925,.0003925
"imd",1,0,2,.0002705,.0002705,.0002705
"imd",2,0,2,.0002984,.0002984,.0002984
"imd",3,0,2,.0003153,.0003153,.0003153
"imd",4,0,2,.0003569,.0003569,.0003569
"imd",5,0,2,.0003925,.0003925,.0003925
"imd",1,1,2,.0002705,.0002705,.0002705
"imd",2,1,2,.0002984,.0002984,.0002984
"imd",3,1,2,.0003153,.0003153,.0003153
"imd",4,1,2,.0003569,.0003569,.0003569
"imd",5,1,2,.0003925,.0003925,.0003925
"imd",1,0,3,.0002705,.0002705,.0002705
"imd",2,0,3,.0002984,.0002984,.0002984
"imd",3,0,3,.0003153,.0003153,.0003153
"imd",4,0,3,.0003569,.0003569,.0003569
"imd",5,0,3,.0003925,.0003925,.0003925
"imd",1,1,3,.0002705,.0002705,.0002705
"imd",2,1,3,.0002984,.0002984,.0002984
"imd",3,1,3,.0003153,.0003153,.0003153
"imd",4,1,3,.0003569,.0003569,.0003569
"imd",5,1,3,.0003925,.0003925,.0003925
"imd",1,0,4,.0002705,.0002705,.0002705
"imd",2,0,4,.0002984,.0002984,.0002984
"imd",3,0,4,.0003153,.0003153,.0003153
"imd",4,0,4,.0003569,.0003569,.0003569
"imd",5,0,4,.0003925,.0003925,.0003925
"imd",1,1,4,.0002705,.0002705,.0002705
"imd",2,1,4,.0002984,.0002984,.0002984
"imd",3,1,4,.0003153,.0003153,.0003153
"imd",4,1,4,.0003569,.0003569,.0003569
"imd",5,1,4,.0003925,.0003925,.0003925
"imd",1,0,5,.0002705,.0002705,.0002705
"imd",2,0,5,.0002984,.0002984,.0002984
"imd",3,0,5,.0003153,.0003153,.0003153
"imd",4,0,5,.0003569,.0003569,.0003569
"imd",5,0,5,.0003925,.0003925,.0003925
"imd",1,1,5,.0002705,.0002705,.0002705
"imd",2,1,5,.0002984,.0002984,.0002984
"imd",3,1,5,.0003153,.0003153,.0003153
"imd",4,1,5,.0003569,.0003569,.0003569
"imd",5,1,5,.0003925,.0003925,.0003925
"imd",1,0,6,.0002705,.0002705,.0002705
"imd",2,0,6,.0002984,.0002984,.0002984
"imd",3,0,6,.0003153,.0003153,.0003153
"imd",4,0,6,.0003569,.0003569,.0003569
"imd",5,0,6,.0003925,.0003925,.0003925
"imd",1,1,6,.0002705,.0002705,.0002705
"imd",2,1,6,.0002984,.0002984,.0002984
"imd",3,1,6,.0003153,.0003153,.0003153
"imd",4,1,6,.0003569,.0003569,.0003569
"imd",5,1,6,.0003925,.0003925,.0003925
"asthmacat",1,0,1,.0003254,.0003254,.0003254
"asthmacat",2,0,1,.0002874,.0002874,.0002874
"asthmacat",3,0,1,.0006865,.0006865,.0006865
"asthmacat",1,1,1,.0003254,.0003254,.0003254
"asthmacat",2,1,1,.0002874,.0002874,.0002874
"asthmacat",3,1,1,.0006865,.0006865,.0006865
"asthmacat",1,0,2,.0003254,.0003254,.0003254
"asthmacat",2,0,2,.0002874,.0002874,.0002874
"asthmacat",3,0,2,.0006865,.0006865,.0006865
"asthmacat",1,1,2,.0003254,.0003254,.0003254
"asthmacat",2,1,2,.0002874,.0002874,.0002874
"asthmacat",3,1,2,.0006865,.0006865,.0006865
"asthmacat",1,0,3,.0003254,.0003254,.0003254
"asthmacat",2,0,3,.0002874,.0002874,.0002874
"asthmacat",3,0,3,.0006865,.0006865,.0006865
"asthmacat",1,1,3,.0003254,.0003254,.0003254
"asthmacat",2,1,3,.0002874,.0002874,.0002874
"asthmacat",3,1,3,.0006865,.0006865,.0006865
"asthmacat",1,0,4,.0003254,.0003254,.0003254
"asthmacat",2,0,4,.0002874,.0002874,.0002874
"asthmacat",3,0,4,.0006865,.0006865,.0006865
"asthmacat",1,1,4,.0003254,.0003254,.0003254
"asthmacat",2,1,4,.0002874,.0002874,.0002874
"asthmacat",3,1,4,.0006865,.0006865,.0006865
"asthmacat",1,0,5,.0003254,.0003254,.0003254
"asthmacat",2,0,5,.0002874,.0002874,.0002874
"asthmacat",3,0,5,.0006865,.0006865,.0006865
"asthmacat",1,1,5,.0003254,.0003254,.0003254
"asthmacat",2,1,5,.0002874,.0002874,.0002874
"asthmacat",3,1,5,.0006865,.0006865,.0006865
"asthmacat",1,0,6,.0003254,.0003254,.0003254
"asthmacat",2,0,6,.0002874,.0002874,.0002874
"asthmacat",3,0,6,.0006865,.0006865,.0006865
"asthmacat",1,1,6,.0003254,.0003254,.0003254
"asthmacat",2,1,6,.0002874,.0002874,.0002874
"asthmacat",3,1,6,.0006865,.0006865,.0006865
"diabcat",1,0,1,.0002111,.0002111,.0002111
"diabcat",2,0,1,.0013043,.0013043,.0013043
"diabcat",3,0,1,.0016191,.0016191,.0016191
"diabcat",4,0,1,.0010774,.0010774,.0010774
"diabcat",1,1,1,.0002111,.0002111,.0002111
"diabcat",2,1,1,.0013043,.0013043,.0013043
"diabcat",3,1,1,.0016191,.0016191,.0016191
"diabcat",4,1,1,.0010774,.0010774,.0010774
"diabcat",1,0,2,.0002111,.0002111,.0002111
"diabcat",2,0,2,.0013043,.0013043,.0013043
"diabcat",3,0,2,.0016191,.0016191,.0016191
"diabcat",4,0,2,.0010774,.0010774,.0010774
"diabcat",1,1,2,.0002111,.0002111,.0002111
"diabcat",2,1,2,.0013043,.0013043,.0013043
"diabcat",3,1,2,.0016191,.0016191,.0016191
"diabcat",4,1,2,.0010774,.0010774,.0010774
"diabcat",1,0,3,.0002111,.0002111,.0002111
"diabcat",2,0,3,.0013043,.0013043,.0013043
"diabcat",3,0,3,.0016191,.0016191,.0016191
"diabcat",4,0,3,.0010774,.0010774,.0010774
"diabcat",1,1,3,.0002111,.0002111,.0002111
"diabcat",2,1,3,.0013043,.0013043,.0013043
"diabcat",3,1,3,.0016191,.0016191,.0016191
"diabcat",4,1,3,.0010774,.0010774,.0010774
"diabcat",1,0,4,.0002111,.0002111,.0002111
"diabcat",2,0,4,.0013043,.0013043,.0013043
"diabcat",3,0,4,.0016191,.0016191,.0016191
"diabcat",4,0,4,.0010774,.0010774,.0010774
"diabcat",1,1,4,.0002111,.0002111,.0002111
"diabcat",2,1,4,.0013043,.0013043,.0013043
"diabcat",3,1,4,.0016191,.0016191,.0016191
"diabcat",4,1,4,.0010774,.0010774,.0010774
"diabcat",1,0,5,.0002111,.0002111,.0002111
"diabcat",2,0,5,.0013043,.0013043,.0013043
"diabcat",3,0,5,.0016191,.0016191,.0016191
"diabcat",4,0,5,.0010774,.0010774,.0010774
"diabcat",1,1,5,.0002111,.0002111,.0002111
"diabcat",2,1,5,.0013043,.0013043,.0013043
"diabcat",3,1,5,.0016191,.0016191,.0016191
"diabcat",4,1,5,.0010774,.0010774,.0010774
"diabcat",1,0,6,.0002111,.0002111,.0002111
"diabcat",2,0,6,.0013043,.0013043,.0013043
"diabcat",3,0,6,.0016191,.0016191,.0016191
"diabcat",4,0,6,.0010774,.0010774,.0010774
"diabcat",1,1,6,.0002111,.0002111,.0002111
"diabcat",2,1,6,.0013043,.0013043,.0013043
"diabcat",3,1,6,.0016191,.0016191,.0016191
"diabcat",4,1,6,.0010774,.0010774,.0010774
"cancer_exhaem_cat",1,0,1,.0002882,.0002882,.0002882
"cancer_exhaem_cat",2,0,1,.001322,.001322,.001322
"cancer_exhaem_cat",3,0,1,.0010429,.0010429,.0010429
"cancer_exhaem_cat",4,0,1,.0010183,.0010183,.0010183
"cancer_exhaem_cat",1,1,1,.0002882,.0002882,.0002882
"cancer_exhaem_cat",2,1,1,.001322,.001322,.001322
"cancer_exhaem_cat",3,1,1,.0010429,.0010429,.0010429
"cancer_exhaem_cat",4,1,1,.0010183,.0010183,.0010183
"cancer_exhaem_cat",1,0,2,.0002882,.0002882,.0002882
