rf,rfcat,sex,age,risk30,risk60,risk80
"htdiag_or_highbp",0,0,1,.0001293,.0001293,.0001293
"htdiag_or_highbp",1,0,1,.0007032,.0007032,.0007032
"htdiag_or_highbp",0,1,1,.0001293,.0001293,.0001293
"htdiag_or_highbp",1,1,1,.0007032,.0007032,.0007032
"htdiag_or_highbp",0,0,2,.0001293,.0001293,.0001293
"htdiag_or_highbp",1,0,2,.0007032,.0007032,.0007032
"htdiag_or_highbp",0,1,2,.0001293,.0001293,.0001293
"htdiag_or_highbp",1,1,2,.0007032,.0007032,.0007032
"htdiag_or_highbp",0,0,3,.0001293,.0001293,.0001293
"htdiag_or_highbp",1,0,3,.0007032,.0007032,.0007032
"htdiag_or_highbp",0,1,3,.0001293,.0001293,.0001293
"htdiag_or_highbp",1,1,3,.0007032,.0007032,.0007032
"htdiag_or_highbp",0,0,4,.0001293,.0001293,.0001293
"htdiag_or_highbp",1,0,4,.0007032,.0007032,.0007032
"htdiag_or_highbp",0,1,4,.0001293,.0001293,.0001293
"htdiag_or_highbp",1,1,4,.0007032,.0007032,.0007032
"htdiag_or_highbp",0,0,5,.0001293,.0001293,.0001293
"htdiag_or_highbp",1,0,5,.0007032,.0007032,.0007032
"htdiag_or_highbp",0,1,5,.0001293,.0001293,.0001293
"htdiag_or_highbp",1,1,5,.0007032,.0007032,.0007032
"htdiag_or_highbp",0,0,6,.0001293,.0001293,.0001293
"htdiag_or_highbp",1,0,6,.0007032,.0007032,.0007032
"htdiag_or_highbp",0,1,6,.0001293,.0001293,.0001293
"htdiag_or_highbp",1,1,6,.0007032,.0007032,.0007032
"chronic_respiratory_disease",0,0,1,.0002638,.0002638,.0002638
"chronic_respiratory_disease",1,0,1,.001793,.001793,.001793
"chronic_respiratory_disease",0,1,1,.0002638,.0002638,.0002638
"chronic_respiratory_disease",1,1,1,.001793,.001793,.001793
"chronic_respiratory_disease",0,0,2,.0002638,.0002638,.0002638
"chronic_respiratory_disease",1,0,2,.001793,.001793,.001793
"chronic_respiratory_disease",0,1,2,.0002638,.0002638,.0002638
"chronic_respiratory_disease",1,1,2,.001793,.001793,.001793
"chronic_respiratory_disease",0,0,3,.0002638,.0002638,.0002638
"chronic_respiratory_disease",1,0,3,.001793,.001793,.001793
"chronic_respiratory_disease",0,1,3,.0002638,.0002638,.0002638
"chronic_respiratory_disease",1,1,3,.001793,.001793,.001793
"chronic_respiratory_disease",0,0,4,.0002638,.0002638,.0002638
"chronic_respiratory_disease",1,0,4,.001793,.001793,.001793
"chronic_respiratory_disease",0,1,4,.0002638,.0002638,.0002638
"chronic_respiratory_disease",1,1,4,.001793,.001793,.001793
"chronic_respiratory_disease",0,0,5,.0002638,.0002638,.0002638
"chronic_respiratory_disease",1,0,5,.001793,.001793,.001793
"chronic_respiratory_disease",0,1,5,.0002638,.0002638,.0002638
"chronic_respiratory_disease",1,1,5,.001793,.001793,.001793
"chronic_respiratory_disease",0,0,6,.0002638,.0002638,.0002638
"chronic_respiratory_disease",1,0,6,.001793,.001793,.001793
"chronic_respiratory_disease",0,1,6,.0002638,.0002638,.0002638
"chronic_respiratory_disease",1,1,6,.001793,.001793,.001793
"chronic_cardiac_disease",0,0,1,.0002241,.0002241,.0002241
"chronic_cardiac_disease",1,0,1,.0017349,.0017349,.0017349
"chronic_cardiac_disease",0,1,1,.0002241,.0002241,.0002241
"chronic_cardiac_disease",1,1,1,.0017349,.0017349,.0017349
"chronic_cardiac_disease",0,0,2,.0002241,.0002241,.0002241
"chronic_cardiac_disease",1,0,2,.0017349,.0017349,.0017349
"chronic_cardiac_disease",0,1,2,.0002241,.0002241,.0002241
"chronic_cardiac_disease",1,1,2,.0017349,.0017349,.0017349
"chronic_cardiac_disease",0,0,3,.0002241,.0002241,.0002241
"chronic_cardiac_disease",1,0,3,.0017349,.0017349,.0017349
"chronic_cardiac_disease",0,1,3,.0002241,.0002241,.0002241
"chronic_cardiac_disease",1,1,3,.0017349,.0017349,.0017349
"chronic_cardiac_disease",0,0,4,.0002241,.0002241,.0002241
"chronic_cardiac_disease",1,0,4,.0017349,.0017349,.0017349
"chronic_cardiac_disease",0,1,4,.0002241,.0002241,.0002241
"chronic_cardiac_disease",1,1,4,.0017349,.0017349,.0017349
"chronic_cardiac_disease",0,0,5,.0002241,.0002241,.0002241
"chronic_cardiac_disease",1,0,5,.0017349,.0017349,.0017349
"chronic_cardiac_disease",0,1,5,.0002241,.0002241,.0002241
"chronic_cardiac_disease",1,1,5,.0017349,.0017349,.0017349
"chronic_cardiac_disease",0,0,6,.0002241,.0002241,.0002241
"chronic_cardiac_disease",1,0,6,.0017349,.0017349,.0017349
"chronic_cardiac_disease",0,1,6,.0002241,.0002241,.0002241
"chronic_cardiac_disease",1,1,6,.0017349,.0017349,.0017349
"chronic_liver_disease",0,0,1,.0003218,.0003218,.0003218
