varname,ALLage70plus,ALLnonwhite,ALLmale,ALLobese,ALLcurrsmok,ALLdeprived,ALLhtdiag_or_highbp,ALLchronic_respiratory_disease,ALLasthma,ALLchronic_cardiac_disease,ALLdiabetes,ALLevercancer_exhaem,ALLevercancer_haem,ALLchronic_liver_disease,ALLstroke_dementia,ALLother_neuro,ALLanyckd,ALLorgan_transplant,ALLspleen,ALLra_sle_psoriasis,ALLother_immunosuppression,U70nonwhite,U70male,U70obese,U70currsmok,U70deprived,U70htdiag_or_highbp,U70chronic_respiratory_disease,U70asthma,U70chronic_cardiac_disease,U70diabetes,U70evercancer_exhaem,U70evercancer_haem,U70chronic_liver_disease,U70stroke_dementia,U70other_neuro,U70anyckd,U70organ_transplant,U70spleen,U70ra_sle_psoriasis,U70other_immunosuppression,O70nonwhite,O70male,O70obese,O70currsmok,O70deprived,O70htdiag_or_highbp,O70chronic_respiratory_disease,O70asthma,O70chronic_cardiac_disease,O70diabetes,O70evercancer_exhaem,O70evercancer_haem,O70chronic_liver_disease,O70stroke_dementia,O70other_neuro,O70anyckd,O70organ_transplant,O70spleen,O70ra_sle_psoriasis,O70other_immunosuppression
"age70plus",1,-.1225937,-.0432749,.0055286,-.1237625,-.0792305,.3745539,.1953474,-.0405769,.2967766,.2088897,.2269073,.0615983,.0143855,.197385,.0545793,.4154223,-.0000773,.0097102,.0532494,-.0503221,1,.0223734,-.0516472,-.0622679,.1598092,-.0546169,-.0415445,-.0652606,-.0187775,.085573,-.0419289,-.0094659,.0019834,-.0139674,-.0170521,-.0091184,.0031602,.0036029,-.0396038,.0103166,1,-.0019119,-.0103329,-.0205658,.1159489,.0270754,-.0292213,.0255502,.0184295,.1643694,-.03515,-.006591,.0048416,.0029136,-.0015865,.0076856,.0129671,.0006717,-.0150651,.0099074
"nonwhite",-.1225937,1,.0229817,-.0466157,-.0430494,.1611315,-.0860851,-.057129,-.050589,-.0446637,.0641006,-.061183,-.015177,.000612,-.0311615,-.0197445,-.0524699,.0041466,.0018979,-.0411468,.0165722,.0223734,1,-.0945062,.06851,.0130065,.0615771,-.0023006,-.0227545,.0561234,.0239443,-.0498069,.0074197,.0123037,.0137222,-.0098954,-.0125944,.0062687,.0035169,-.0264765,-.085735,-.0019119,1,-.0358977,.0257554,-.0084621,-.0183851,.0416547,-.0490422,.1238817,.0661441,.0295919,.0210038,.0067549,.0261681,.0188625,-.0283746,.0077524,.0052244,-.01734,.0083617
"male",-.0432749,.0229817,1,-.0847329,.0674637,.0127808,.0275293,.002397,-.0251771,.0565885,.02434,-.0314758,.0082773,.010457,.0073304,-.0045024,-.0326114,.006528,.0034432,-.0266345,-.0737738,-.0516472,-.0945062,1,-.0262198,.0558494,.2265916,.0430907,.0721598,.0784249,.2027831,.023958,.0062331,.0161761,.0313115,.0089165,.0570465,.0026051,.001842,.0431382,.0081041,-.0103329,-.0358977,1,-.0372648,.0721906,.1213953,.0328528,.0607697,.0573784,.1782994,-.00356,-.0079301,.0152183,-.0053167,-.0105037,.0560302,-.001951,-.001178,.0201247,-.000828
"obese",.0055286,-.0466157,-.0847329,1,-.0277846,.0578631,.1952958,.0373699,.0700993,.0642014,.1878389,.0150071,.0022173,.0159665,.0158623,.0040861,.0443483,.0018326,.001248,.0383487,.00697,-.0622679,.06851,-.0262198,1,.139888,-.0137697,.0749474,.0086384,.0057168,-.0098322,-.021505,-.0067293,.027435,.0112241,-.006288,-.0194887,-.0066519,.0020801,.0183676,.0004049,-.0205658,.0257554,-.0372648,1,.0940871,-.026352,.1325946,-.0273559,-.0062325,.002275,-.0161988,-.0092698,.016907,.0057957,-.0102473,-.0391737,-.0039189,-.0002848,.0198499,-.0000314
"currsmok",-.1237625,-.0430494,.0674637,-.0277846,1,.1419572,-.0603139,.0512465,.0095829,-.0344859,-.0327044,-.0451024,-.0140531,.0232195,-.0169815,-.0132542,-.0688385,-.0061963,.0004445,.0112984,.0066052,.1598092,.0130065,.0558494,.139888,1,-.0057073,.0396507,-.000431,.0175878,.0451371,-.0240677,-.0061316,.0167889,.012029,.0012434,.0008115,.0014378,.0013892,-.0029068,.0023378,.1159489,-.0084621,.0721906,.0940871,1,.0294869,.0815644,.0177175,.0452786,.0761324,-.0210651,-.0074629,.012261,.0269926,.0013893,.0323102,.0017701,.0007752,.0060282,.0019763
"deprived",-.0792305,.1611315,.0127808,.0578631,.1419572,1,-.0293779,.0321912,.0055686,-.000418,.0335353,-.0386968,-.0109664,.0145898,-.0007629,-.0030908,-.0225047,.0014949,.0004757,-.0052762,.0062214,-.0546169,.0615771,.2265916,-.0137697,-.0057073,1,.0779667,.0025248,.1306318,.2054323,.0696414,.0178024,.0363416,.0771058,.0185017,.1096326,.0385981,.008923,.0480467,-.03066,.0270754,-.0183851,.1213953,-.026352,.0294869,1,.0042347,.0180136,.0767826,.1224261,.0142691,-.0047588,.0080257,.0587085,-.0092939,.1189076,.0102669,.0003635,.0126483,-.0030461
"htdiag_or_highbp",.3745539,-.0860851,.0275293,.1952958,-.0603139,-.0293779,1,.1190816,-.0105047,.2031979,.2406477,.1282649,.0324681,.0333678,.1295568,.0303259,.2353909,.0310363,.0101029,.057105,-.0443556,-.0415445,-.0023006,.0430907,.0749474,.0396507,.0779667,1,.0690592,.101871,.0738106,.0416155,.0179278,.0384929,.0537046,.0191355,.0471049,.0123503,.0082078,.0355849,-.0057364,-.0292213,.0416547,.0328528,.1325946,.0815644,.0042347,1,.1399396,.0998731,.042317,.0214511,.0068894,.0210567,.0386221,.0018469,.0299302,.0013726,.0054322,.0464764,.00843
"chronic_respiratory_disease",.1953474,-.057129,.002397,.0373699,.0512465,.0321912,.1190816,1,.0734161,.1523466,.0976902,.0741052,.0241944,.0330204,.0812293,.0217343,.1126459,.0080603,.0086792,.0479353,-.0127073,-.0652606,-.0227545,.0721598,.0086384,-.000431,.0025248,.0690592,1,.0075686,.0155063,-.0050026,.0004366,.0019167,.002659,.0047013,-.0011408,-.0001234,.0003972,.015575,.0111367,.0255502,-.0490422,.0607697,-.0273559,.0177175,.0180136,.1399396,1,.0292226,.0334272,.0007186,-.0005436,.0051368,.0049946,.0010134,.002096,-.0005843,.0022069,.016567,.0053103
"asthma",-.0405769,-.050589,-.0251771,.0700993,.0095829,.0055686,-.0105047,.0734161,1,.0003627,.0102641,-.0121194,-.0023554,.0019327,-.0050766,.0014264,-.016722,-.0001945,.0003591,.0134212,.0124982,-.0187775,.0561234,.0784249,.0057168,.0175878,.1306318,.101871,.0075686,1,.1548372,.0362866,.0206915,.0267563,.1096651,.0216339,.0980303,.0291034,.0104694,.0279117,-.0115985,.0184295,.1238817,.0573784,-.0062325,.0452786,.0767826,.0998731,.0292226,1,.1430179,.0197184,.0138998,.0136052,.1266555,.0201898,.1629875,.0092541,.005226,.0227464,.0054403
"chronic_cardiac_disease",.2967766,-.0446637,.0565885,.0642014,-.0344859,-.000418,.2031979,.1523466,.0003627,1,.1994493,.0928664,.0346464,.0239998,.1700724,.0359276,.2424178,.0197436,.0105619,.0394177,-.0216578,.085573,.0239443,.2027831,-.0098322,.0451371,.2054323,.0738106,.0155063,.1548372,1,.0404815,.0153942,.0442815,.0710644,.0157691,.0962601,.0321693,.0112115,.0321988,-.012638,.1643694,.0661441,.1782994,.002275,.0761324,.1224261,.042317,.0334272,.1430179,1,.0128871,.0020765,.0332673,.0582888,.0053818,.1108254,.011443,.0090758,.014708,.004402
