agegroup	male	pred30_cons	pred30_cons_lci	pred30_cons_uci	pred60_cons	pred60_cons_lci	pred60_cons_uci	pred80_cons	pred80_cons_lci	pred80_cons_uci	pred30_htdiag_or_highbp	pred30_htdiag_or_highbp_lci	pred30_htdiag_or_highbp_uci	pred60_htdiag_or_highbp	pred60_htdiag_or_highbp_lci	pred60_htdiag_or_highbp_uci	pred80_htdiag_or_highbp	pred80_htdiag_or_highbp_lci	pred80_htdiag_or_highbp_uci	pred30_respiratory_disease	pred30_respiratory_disease_lci	pred30_respiratory_disease_uci	pred60_respiratory_disease	pred60_respiratory_disease_lci	pred60_respiratory_disease_uci	pred80_respiratory_disease	pred80_respiratory_disease_lci	pred80_respiratory_disease_uci	pred30_asthmacat_2	pred30_asthmacat_2_lci	pred30_asthmacat_2_uci	pred60_asthmacat_2	pred60_asthmacat_2_lci	pred60_asthmacat_2_uci	pred80_asthmacat_2	pred80_asthmacat_2_lci	pred80_asthmacat_2_uci	pred30_asthmacat_3	pred30_asthmacat_3_lci	pred30_asthmacat_3_uci	pred60_asthmacat_3	pred60_asthmacat_3_lci	pred60_asthmacat_3_uci	pred80_asthmacat_3	pred80_asthmacat_3_lci	pred80_asthmacat_3_uci	pred30_cardiac_disease	pred30_cardiac_disease_lci	pred30_cardiac_disease_uci	pred60_cardiac_disease	pred60_cardiac_disease_lci	pred60_cardiac_disease_uci	pred80_cardiac_disease	pred80_cardiac_disease_lci	pred80_cardiac_disease_uci	pred30_diabcat_2	pred30_diabcat_2_lci	pred30_diabcat_2_uci	pred60_diabcat_2	pred60_diabcat_2_lci	pred60_diabcat_2_uci	pred80_diabcat_2	pred80_diabcat_2_lci	pred80_diabcat_2_uci	pred30_diabcat_3	pred30_diabcat_3_lci	pred30_diabcat_3_uci	pred60_diabcat_3	pred60_diabcat_3_lci	pred60_diabcat_3_uci	pred80_diabcat_3	pred80_diabcat_3_lci	pred80_diabcat_3_uci	pred30_diabcat_4	pred30_diabcat_4_lci	pred30_diabcat_4_uci	pred60_diabcat_4	pred60_diabcat_4_lci	pred60_diabcat_4_uci	pred80_diabcat_4	pred80_diabcat_4_lci	pred80_diabcat_4_uci	pred30_cancer_exhaem_cat_2	pred30_cancer_exhaem_cat_2_lci	pred30_cancer_exhaem_cat_2_uci	pred60_cancer_exhaem_cat_2	pred60_cancer_exhaem_cat_2_lci	pred60_cancer_exhaem_cat_2_uci	pred80_cancer_exhaem_cat_2	pred80_cancer_exhaem_cat_2_lci	pred80_cancer_exhaem_cat_2_uci	pred30_cancer_exhaem_cat_3	pred30_cancer_exhaem_cat_3_lci	pred30_cancer_exhaem_cat_3_uci	pred60_cancer_exhaem_cat_3	pred60_cancer_exhaem_cat_3_lci	pred60_cancer_exhaem_cat_3_uci	pred80_cancer_exhaem_cat_3	pred80_cancer_exhaem_cat_3_lci	pred80_cancer_exhaem_cat_3_uci	pred30_cancer_exhaem_cat_4	pred30_cancer_exhaem_cat_4_lci	pred30_cancer_exhaem_cat_4_uci	pred60_cancer_exhaem_cat_4	pred60_cancer_exhaem_cat_4_lci	pred60_cancer_exhaem_cat_4_uci	pred80_cancer_exhaem_cat_4	pred80_cancer_exhaem_cat_4_lci	pred80_cancer_exhaem_cat_4_uci	pred30_cancer_haem_cat_2	pred30_cancer_haem_cat_2_lci	pred30_cancer_haem_cat_2_uci	pred60_cancer_haem_cat_2	pred60_cancer_haem_cat_2_lci	pred60_cancer_haem_cat_2_uci	pred80_cancer_haem_cat_2	pred80_cancer_haem_cat_2_lci	pred80_cancer_haem_cat_2_uci	pred30_cancer_haem_cat_3	pred30_cancer_haem_cat_3_lci	pred30_cancer_haem_cat_3_uci	pred60_cancer_haem_cat_3	pred60_cancer_haem_cat_3_lci	pred60_cancer_haem_cat_3_uci	pred80_cancer_haem_cat_3	pred80_cancer_haem_cat_3_lci	pred80_cancer_haem_cat_3_uci	pred30_cancer_haem_cat_4	pred30_cancer_haem_cat_4_lci	pred30_cancer_haem_cat_4_uci	pred60_cancer_haem_cat_4	pred60_cancer_haem_cat_4_lci	pred60_cancer_haem_cat_4_uci	pred80_cancer_haem_cat_4	pred80_cancer_haem_cat_4_lci	pred80_cancer_haem_cat_4_uci	pred30_chronic_liver_disease	pred30_chronic_liver_disease_lci	pred30_chronic_liver_disease_uci	pred60_chronic_liver_disease	pred60_chronic_liver_disease_lci	pred60_chronic_liver_disease_uci	pred80_chronic_liver_disease	pred80_chronic_liver_disease_lci	pred80_chronic_liver_disease_uci	pred30_stroke_dementia	pred30_stroke_dementia_lci	pred30_stroke_dementia_uci	pred60_stroke_dementia	pred60_stroke_dementia_lci	pred60_stroke_dementia_uci	pred80_stroke_dementia	pred80_stroke_dementia_lci	pred80_stroke_dementia_uci	pred30_other_neuro	pred30_other_neuro_lci	pred30_other_neuro_uci	pred60_other_neuro	pred60_other_neuro_lci	pred60_other_neuro_uci	pred80_other_neuro	pred80_other_neuro_lci	pred80_other_neuro_uci	pred30_red_kidney_cat_2	pred30_red_kidney_cat_2_lci	pred30_red_kidney_cat_2_uci	pred60_red_kidney_cat_2	pred60_red_kidney_cat_2_lci	pred60_red_kidney_cat_2_uci	pred80_red_kidney_cat_2	pred80_red_kidney_cat_2_lci	pred80_red_kidney_cat_2_uci	pred30_red_kidney_cat_3	pred30_red_kidney_cat_3_lci	pred30_red_kidney_cat_3_uci	pred60_red_kidney_cat_3	pred60_red_kidney_cat_3_lci	pred60_red_kidney_cat_3_uci	pred80_red_kidney_cat_3	pred80_red_kidney_cat_3_lci	pred80_red_kidney_cat_3_uci	pred30_organ_transplant	pred30_organ_transplant_lci	pred30_organ_transplant_uci	pred60_organ_transplant	pred60_organ_transplant_lci	pred60_organ_transplant_uci	pred80_organ_transplant	pred80_organ_transplant_lci	pred80_organ_transplant_uci	pred30_spleen	pred30_spleen_lci	pred30_spleen_uci	pred60_spleen	pred60_spleen_lci	pred60_spleen_uci	pred80_spleen	pred80_spleen_lci	pred80_spleen_uci	pred30_ra_sle_psoriasis	pred30_ra_sle_psoriasis_lci	pred30_ra_sle_psoriasis_uci	pred60_ra_sle_psoriasis	pred60_ra_sle_psoriasis_lci	pred60_ra_sle_psoriasis_uci	pred80_ra_sle_psoriasis	pred80_ra_sle_psoriasis_lci	pred80_ra_sle_psoriasis_uci	pred30_immunosuppression	pred30_immunosuppression_lci	pred30_immunosuppression_uci	pred60_immunosuppression	pred60_immunosuppression_lci	pred60_immunosuppression_uci	pred80_immunosuppression	pred80_immunosuppression_lci	pred80_immunosuppression_uci	pred30_male	pred30_male_lci	pred30_male_uci	pred60_male	pred60_male_lci	pred60_male_uci	pred80_male	pred80_male_lci	pred80_male_uci
"18-<40"	0	1	1	1	.9999994	.9999991	.9999996	.99999723	.9999958	.9999982	1	1	1	.99999941	.9999991	.9999996	.99999729	.9999959	.9999982	1	1	1	.99999893	.9999984	.9999993	.99999505	.9999925	.9999968	1	1	1	.99999937	.999999	.9999996	.99999709	.9999956	.9999981	1	1	1	.99999923	.9999988	.9999995	.99999645	.9999945	.9999977	1	1	1	.99999925	.9999989	.9999995	.99999655	.9999948	.9999977	1	1	1	.99999906	.9999986	.9999994	.99999568	.9999934	.9999971	1	1	1	.99999862	.9999979	.9999991	.99999363	.9999903	.9999958	1	1	1	.99999877	.9999981	.9999992	.99999434	.9999912	.9999964	1	1	1	.99999901	.9999984	.9999994	.99999541	.9999927	.9999971	1	1	1	.99999929	.9999989	.9999995	.99999674	.9999949	.9999979	1	1	1	.99999941	.9999991	.9999996	.99999725	.9999958	.9999982	1	1	1	.99999811	.9999965	.999999	.99999128	.9999839	.9999953	1	1	1	.999998	.9999968	.9999987	.99999077	.9999851	.9999943	1	1	1	.99999893	.9999983	.9999993	.99999505	.9999921	.9999969	1	1	1	.99999904	.9999985	.9999994	.99999556	.9999929	.9999972	1	1	1	.99999896	.9999984	.9999993	.99999518	.9999927	.9999968	1	1	1	.99999855	.9999977	.999999	.99999332	.9999897	.9999956	1	1	1	.99999904	.9999985	.9999993	.99999557	.9999933	.9999971	1	1	1	.99999793	.9999968	.9999986	.99999043	.9999853	.9999938	1	1	1	.99999756	.9999959	.9999986	.99998875	.9999811	.9999933	1	1	1	.99999915	.9999984	.9999995	.99999607	.9999927	.9999979	1	1	1	.9999993	.9999989	.9999995	.99999679	.9999951	.9999979	1	1	1	.99999885	.9999981	.9999993	.99999471	.9999911	.9999968	1	1	1	.99999884	.9999983	.9999992	.99999464	.9999919	.9999964
"18-<40"	0	1	1	1	.99999884	.9999983	.9999992	.99999464	.9999919	.9999964	1	1	1	.99999887	.9999983	.9999993	.99999477	.9999921	.9999965	1	1	1	.99999793	.9999968	.9999986	.99999045	.9999855	.9999937	1	1	1	.99999878	.9999982	.9999992	.99999438	.9999915	.9999963	1	1	1	.99999852	.9999977	.999999	.99999315	.9999893	.9999956	1	1	1	.99999856	.9999978	.999999	.99999333	.9999899	.9999956	1	1	1	.99999819	.9999973	.9999988	.99999166	.9999873	.9999945	1	1	1	.99999734	.9999959	.9999983	.9999877	.9999812	.999992	1	1	1	.99999763	.9999963	.9999985	.99998906	.999983	.999993	1	1	1	.99999808	.999997	.9999988	.99999114	.9999859	.9999945	1	1	1	.99999864	.9999979	.9999991	.9999937	.9999902	.9999959	1	1	1	.99999885	.9999982	.9999992	.9999947	.9999919	.9999965	1	1	1	.99999635	.9999933	.999998	.99998316	.999969	.9999908	1	1	1	.99999614	.9999937	.9999976	.99998219	.9999712	.999989	1	1	1	.99999793	.9999967	.9999987	.99999044	.9999847	.999994	1	1	1	.99999814	.999997	.9999988	.99999142	.9999864	.9999946	1	1	1	.99999799	.9999969	.9999987	.9999907	.9999858	.9999939	1	1	1	.99999721	.9999957	.9999982	.9999871	.9999802	.9999917	1	1	1	.99999815	.9999972	.9999988	.99999145	.999987	.9999944	1	1	1	.999996	.9999938	.9999974	.99998152	.9999716	.999988	1	1	1	.9999953	.9999921	.9999972	.99997828	.9999636	.999987	1	1	1	.99999836	.999997	.9999991	.99999242	.9999859	.9999959	1	1	1	.99999866	.9999979	.9999991	.9999938	.9999905	.9999959	1	1	1	.99999779	.9999963	.9999987	.99998978	.9999829	.9999939	1	1	1	.99999884	.9999983	.9999992	.99999464	.9999919	.9999964
"40-<50"	0	1	1	1	.99999692	.9999962	.9999975	.99998579	.9999826	.9999884	1	1	1	.999997	.9999962	.9999976	.99998612	.9999828	.9999888	1	1	1	.99999451	.9999931	.9999956	.99997466	.9999683	.9999797	1	1	1	.99999677	.9999959	.9999974	.99998509	.9999815	.999988	1	1	1	.99999607	.9999949	.999997	.99998183	.9999765	.9999859	1	1	1	.99999617	.9999952	.999997	.9999823	.999978	.9999858	1	1	1	.99999521	.999994	.9999962	.99997786	.9999725	.9999822	1	1	1	.99999293	.9999911	.9999944	.99996737	.9999591	.999974	1	1	1	.99999372	.9999918	.9999952	.99997097	.9999624	.9999775	1	1	1	.99999491	.9999931	.9999962	.99997648	.9999683	.9999825	1	1	1	.99999638	.9999953	.9999972	.99998327	.9999784	.9999871	1	1	1	.99999695	.9999961	.9999976	.99998592	.9999823	.9999888	1	1	1	.99999032	.9999841	.9999941	.9999553	.9999266	.9999728	1	1	1	.99998976	.9999858	.9999926	.99995273	.9999348	.9999657	1	1	1	.99999451	.9999925	.999996	.99997463	.9999655	.9999813	1	1	1	.99999507	.9999933	.9999964	.99997724	.9999694	.9999831	1	1	1	.99999465	.9999933	.9999958	.99997531	.9999692	.9999802	1	1	1	.99999259	.9999905	.9999942	.99996578	.9999563	.9999732	1	1	1	.99999509	.9999939	.9999961	.99997732	.9999718	.9999818	1	1	1	.99998938	.9999865	.9999917	.99995096	.9999379	.9999613	1	1	1	.99998752	.9999818	.9999914	.99994236	.9999165	.9999602	1	1	1	.99999564	.9999927	.9999974	.99997988	.9999666	.9999879	1	1	1	.99999644	.9999955	.9999972	.99998355	.9999793	.9999869	1	1	1	.99999413	.9999914	.9999959	.99997287	.9999606	.9999813	1	1	1	.99999406	.9999927	.9999952	.99997256	.9999664	.9999776
"40-<50"	0	1	1	1	.99999406	.9999927	.9999952	.99997256	.9999664	.9999776	1	1	1	.9999942	.9999928	.9999954	.99997321	.9999669	.9999783	1	1	1	.9999894	.9999867	.9999915	.99995107	.999939	.9999608	1	1	1	.99999377	.9999922	.9999951	.99997121	.9999642	.9999769	1	1	1	.9999924	.9999901	.9999942	.99996492	.9999546	.9999729	1	1	1	.9999926	.9999908	.999994	.99996583	.9999577	.9999724	1	1	1	.99999075	.9999884	.9999926	.99995726	.9999469	.9999656	1	1	1	.99998636	.9999828	.9999892	.999937	.9999212	.9999496	1	1	1	.99998787	.9999842	.9999906	.99994396	.9999276	.9999566	1	1	1	.99999016	.9999867	.9999927	.99995458	.9999388	.9999663	1	1	1	.99999301	.9999909	.9999946	.9999677	.9999585	.9999749	1	1	1	.99999411	.9999925	.9999954	.99997282	.9999659	.9999784	1	1	1	.99998131	.9999692	.9999886	.99991369	.9998585	.9999474	1	1	1	.99998024	.9999726	.9999857	.99990873	.9998744	.9999337	1	1	1	.99998939	.9999855	.9999923	.99995101	.9999334	.9999639	1	1	1	.99999049	.9999871	.999993	.99995606	.999941	.9999673	1	1	1	.99998968	.9999871	.9999918	.99995233	.9999407	.9999617	1	1	1	.99998569	.9999816	.9999889	.99993392	.9999158	.9999481	1	1	1	.99999052	.9999881	.9999924	.99995621	.9999456	.9999648	1	1	1	.9999795	.9999739	.9999839	.99990531	.9998801	.9999252	1	1	1	.9999759	.999965	.9999834	.99988871	.999839	.9999231	1	1	1	.99999159	.999986	.9999949	.99996115	.9999356	.9999766	1	1	1	.99999312	.9999913	.9999946	.99996823	.9999601	.9999747	1	1	1	.99998866	.9999835	.9999922	.99994763	.9999239	.9999639	1	1	1	.99999406	.9999927	.9999952	.99997256	.9999664	.9999776
"50-<60"	0	1	1	1	.9999925	.9999911	.9999937	.99996534	.9999593	.9999704	1	1	1	.99999267	.9999913	.9999939	.99996617	.9999602	.9999713	1	1	1	.99998662	.9999838	.9999889	.99993821	.9999261	.9999483	1	1	1	.99999213	.9999905	.9999934	.99996365	.9999566	.9999695	1	1	1	.99999041	.999988	.9999924	.9999557	.9999447	.9999645	1	1	1	.99999066	.9999888	.9999922	.99995685	.9999486	.9999638	1	1	1	.99998831	.9999859	.9999903	.99994603	.9999357	.9999547	1	1	1	.99998277	.9999791	.9999858	.99992045	.9999044	.9999338	1	1	1	.99998468	.9999807	.9999878	.99992923	.9999116	.9999433	1	1	1	.99998758	.9999837	.9999906	.99994264	.999925	.9999561	1	1	1	.99999117	.9999889	.999993	.99995922	.9999493	.9999672	1	1	1	.99999257	.9999909	.9999939	.99996568	.9999586	.9999716	1	1	1	.9999764	.9999618	.9999854	.99989102	.9998243	.9999324	1	1	1	.99997504	.9999663	.9999815	.99988474	.9998454	.9999141	1	1	1	.99998661	.9999822	.9999899	.99993814	.9999182	.9999532	1	1	1	.99998798	.9999843	.9999908	.99994451	.9999276	.9999574	1	1	1	.99998697	.9999843	.9999892	.99993981	.9999279	.9999497	1	1	1	.99998193	.9999776	.9999854	.99991656	.9998974	.9999322	1	1	1	.99998803	.9999856	.99999	.99994471	.999934	.9999536	1	1	1	.99997411	.9999681	.999979	.99988043	.9998537	.9999023	1	1	1	.99996957	.9999568	.9999786	.99985947	.9998013	.9999006	1	1	1	.99998938	.9999826	.9999935	.99995094	.99992	.9999699	1	1	1	.99999131	.9999894	.9999928	.99995988	.9999516	.9999667	1	1	1	.99998568	.9999795	.99999	.99993386	.9999056	.9999536	1	1	1	.99998551	.9999829	.9999877	.99993309	.9999217	.9999428
"50-<60"	0	1	1	1	.99998551	.9999829	.9999877	.99993309	.9999217	.9999428	1	1	1	.99998585	.9999832	.9999881	.99993467	.9999232	.9999444	1	1	1	.99997417	.9999689	.9999785	.9998807	.9998577	.9999	1	1	1	.9999848	.9999817	.9999874	.99992981	.9999162	.9999412	1	1	1	.99998148	.9999767	.9999853	.99991447	.9998932	.9999315	1	1	1	.99998196	.9999784	.9999849	.99991669	.9999013	.9999297	1	1	1	.99997744	.9999729	.9999812	.9998958	.9998763	.9999123	1	1	1	.99996674	.9999598	.9999725	.9998464	.9998161	.9998717	1	1	1	.99997041	.9999629	.9999765	.99986336	.9998296	.9998904	1	1	1	.99997602	.9999685	.9999817	.99988925	.9998556	.9999151	1	1	1	.99998295	.9999787	.9999864	.99992126	.9999024	.9999365	1	1	1	.99998565	.9999826	.9999882	.99993373	.9999202	.999945	1	1	1	.99995444	.9999264	.9999718	.99978958	.9996613	.9998693	1	1	1	.99995181	.9999352	.9999642	.99977747	.9997023	.9998336	1	1	1	.99997414	.9999657	.9999805	.99988057	.9998424	.9999095	1	1	1	.9999768	.9999696	.9999823	.99989286	.9998605	.9999177	1	1	1	.99997483	.9999697	.9999791	.99988378	.9998612	.9999027	1	1	1	.99996512	.9999568	.9999718	.9998389	.9998024	.9998687	1	1	1	.99997688	.9999722	.9999807	.99989324	.9998728	.9999104	1	1	1	.99995001	.9999384	.9999594	.99976915	.9997179	.9998111	1	1	1	.99994124	.9999167	.9999586	.99972867	.9996169	.9998078	1	1	1	.99997949	.9999664	.9999875	.99990527	.9998456	.9999419	1	1	1	.99998323	.9999796	.9999862	.99992254	.9999067	.9999357	1	1	1	.99997235	.9999604	.9999807	.9998723	.999818	.9999104	1	1	1	.99998551	.9999829	.9999877	.99993309	.9999217	.9999428
"60-<70"	0	1	1	1	.99998138	.9999782	.9999841	.99991403	.9999004	.9999258	1	1	1	.99998183	.9999787	.9999844	.99991606	.9999028	.9999275	1	1	1	.99996681	.9999605	.9999721	.99984672	.9998192	.9998701	1	1	1	.99998047	.9999767	.9999837	.99990982	.9998933	.9999238	1	1	1	.99997621	.9999703	.9999809	.99989011	.999864	.9999112	1	1	1	.99997682	.9999725	.9999804	.99989296	.9998742	.9999089	1	1	1	.99997101	.9999656	.9999756	.99986612	.9998426	.9998862	1	1	1	.99995727	.9999488	.9999644	.99980265	.9997656	.9998338	1	1	1	.99996199	.9999526	.9999695	.99982444	.9997826	.9998582	1	1	1	.99996919	.9999598	.9999764	.99985771	.9998155	.9998903	1	1	1	.99997809	.9999728	.9999824	.99989883	.9998755	.9999178	1	1	1	.99998156	.9999778	.9999847	.99991486	.9998984	.9999287	1	1	1	.99994146	.9999057	.9999636	.99972966	.9995661	.9998316	1	1	1	.99993809	.9999171	.9999537	.9997141	.9996195	.9997852	1	1	1	.99996677	.9999561	.9999748	.99984655	.9997986	.9998831	1	1	1	.99997019	.9999612	.9999771	.99986235	.9998218	.9998937	1	1	1	.99996767	.9999614	.9999729	.99985068	.9998232	.9998739	1	1	1	.99995518	.999945	.9999635	.99979302	.9997481	.9998299	1	1	1	.9999703	.9999647	.999975	.99986283	.9998384	.9998836	1	1	1	.99993577	.9999214	.9999475	.99970341	.9996403	.9997554	1	1	1	.99992451	.9998932	.9999467	.9996514	.9995091	.9997525	1	1	1	.99997364	.999957	.9999838	.99987828	.9998022	.9999251	1	1	1	.99997845	.9999741	.9999821	.99990048	.9998813	.9999166	1	1	1	.99996447	.9999492	.9999752	.99983594	.9997662	.9998848	1	1	1	.99996406	.999958	.9999692	.99983401	.999808	.9998565
"60-<70"	0	1	1	1	.99996406	.999958	.9999692	.99983401	.999808	.9998565	1	1	1	.99996491	.999959	.99997	.99983794	.9998127	.9998598	1	1	1	.99993591	.9999238	.9999461	.99970406	.9996517	.9997485	1	1	1	.9999623	.9999549	.9999685	.99982588	.9997939	.9998529	1	1	1	.99995406	.9999427	.9999632	.99978783	.999737	.9998288	1	1	1	.99995525	.9999471	.9999622	.99979334	.9997582	.9998234	1	1	1	.99994403	.9999337	.9999527	.99974151	.999697	.9997795	1	1	1	.99991749	.9999015	.9999309	.99961899	.9995491	.999678	1	1	1	.9999266	.9999086	.9999411	.99966106	.9995811	.9997258	1	1	1	.99994051	.9999226	.9999543	.99972528	.9996447	.9997876	1	1	1	.9999577	.9999477	.9999658	.99980467	.9997604	.9998407	1	1	1	.9999644	.9999572	.9999704	.99983561	.9998043	.999862	1	1	1	.99988697	.9998182	.9999297	.99947807	.9991636	.9996743	1	1	1	.99988046	.9998404	.9999105	.99944804	.9992671	.9995843	1	1	1	.99993584	.9999155	.9999513	.99970374	.9996119	.9997739	1	1	1	.99994245	.9999251	.9999558	.99973423	.9996564	.9997945	1	1	1	.99993757	.9999256	.9999477	.99971171	.9996593	.999756	1	1	1	.99991346	.999894	.9999293	.99960039	.9995146	.999671	1	1	1	.99994265	.9999318	.9999517	.99973516	.9996882	.9997751	1	1	1	.99987599	.9998485	.9998985	.9994274	.9993064	.9995273	1	1	1	.99985425	.9997941	.9998968	.99932702	.9990536	.9995214	1	1	1	.99994911	.9999171	.9999688	.999765	.9996184	.9998553	1	1	1	.99995839	.9999499	.9999654	.99980786	.9997708	.9998389	1	1	1	.99993141	.9999019	.999952	.99968324	.999549	.9997776	1	1	1	.99996406	.999958	.9999692	.99983401	.999808	.9998565
"70-<80"	0	1	1	1	.99995667	.9999493	.9999629	.99979988	.9997685	.999827	1	1	1	.99995769	.9999508	.9999636	.99980462	.999775	.9998304	1	1	1	.99992274	.9999082	.999935	.99964322	.9995803	.9996967	1	1	1	.99995454	.9999458	.9999619	.99979008	.9997517	.9998225	1	1	1	.99994461	.999931	.9999556	.99974421	.9996835	.9997933	1	1	1	.99994605	.9999362	.9999544	.99975085	.9997082	.9997873	1	1	1	.99993252	.9999201	.999943	.99968837	.9996344	.9997344	1	1	1	.99990053	.9998809	.9999169	.99954066	.999455	.9996129	1	1	1	.99991151	.9998899	.999929	.99959138	.999495	.9996694	1	1	1	.99992828	.9999066	.9999449	.99966881	.9995713	.9997441	1	1	1	.99994901	.9999369	.9999588	.99976451	.9997108	.9998083	1	1	1	.99995708	.9999485	.9999642	.99980181	.9997643	.9998333	1	1	1	.99986373	.9997807	.9999153	.99937079	.998991	.9996077	1	1	1	.99985589	.9998074	.9998922	.99933459	.9991155	.9994994	1	1	1	.99992265	.999898	.9999413	.99964283	.9995319	.9997275	1	1	1	.99993062	.9999096	.9999467	.99967959	.9995852	.9997525	1	1	1	.99992474	.9999104	.9999368	.99965244	.9995898	.9997056	1	1	1	.99989567	.9998721	.9999148	.99951825	.9994145	.9996036	1	1	1	.99993086	.9999183	.9999415	.99968072	.9996263	.9997272	1	1	1	.9998505	.9998183	.999877	.99930971	.9991682	.9994272	1	1	1	.99982428	.9997507	.9998761	.9991887	.9988545	.9994254	1	1	1	.99993865	.9999	.9999624	.99971669	.9995397	.9998256	1	1	1	.99994984	.9999397	.9999583	.99976836	.9997239	.9998057	1	1	1	.9999173	.9998815	.9999423	.99961813	.9994553	.9997323	1	1	1	.99991633	.9999022	.9999284	.99961363	.9995531	.999666
"70-<80"	0	1	1	1	.99991633	.9999022	.9999284	.99961363	.9995531	.999666	1	1	1	.99991831	.9999049	.9999298	.99962279	.9995655	.9996725	1	1	1	.99985082	.999823	.9998743	.99931122	.9991904	.999414	1	1	1	.99991223	.999895	.9999266	.99959472	.9995198	.9996579	1	1	1	.99989305	.9998664	.9999144	.99950617	.9993875	.9996018	1	1	1	.99989583	.9998771	.9999117	.99951899	.9994383	.9995881	1	1	1	.99986971	.9998459	.9998899	.99939838	.9992952	.9994865	1	1	1	.99980794	.9997705	.9998393	.99911328	.9989501	.9992511	1	1	1	.99982915	.9997874	.9998627	.99921117	.9990258	.9993613	1	1	1	.99986152	.9998199	.9998935	.99936062	.9991736	.9995053	1	1	1	.99990154	.9998784	.9999203	.99954536	.9994428	.9996291	1	1	1	.99991714	.9999006	.9999309	.99961736	.9995452	.9996781	.99999999	1	1	.9997369	.999577	.9998364	.99878546	.9980543	.9992419	.99999999	1	1	.99972176	.9996285	.9997916	.99871559	.9982952	.9990324	1	1	1	.99985066	.9998033	.9998866	.99931048	.9990971	.9994735	1	1	1	.99986603	.9998255	.9998971	.99938144	.9991995	.999522	1	1	1	.99985468	.999827	.999878	.99932903	.9992085	.9994313	1	1	1	.99979856	.9997534	.9998354	.99907002	.9988708	.9992341	1	1	1	.9998665	.9998421	.9998871	.99938361	.9992782	.9994736	.99999999	1	1	.99971135	.9996492	.9997625	.99866759	.9983941	.9988945	.99999999	1	1	.99966074	.9995191	.9997607	.9984341	.9977908	.9988902	1	1	1	.99988155	.9998069	.9999273	.99945304	.9991115	.9996634	1	1	1	.99990315	.9998834	.9999196	.99955278	.9994662	.9996253	1	1	1	.99984033	.9997712	.9998885	.99926279	.9989485	.9994832	1	1	1	.99991633	.9999022	.9999284	.99961363	.9995531	.999666
