age1	male	ethnicity	time100	risk100	risk100_lci	risk100_uci
50	0	1	100	6.852547	6.103516	7.69496
50	0	2	100	10.24177	7.969141	13.16667
50	1	1	100	9.94546	8.85129	11.16991
50	1	2	100	14.86431	11.5633	19.10925
60	0	1	100	17.71987	16.22438	19.35363
60	0	2	100	26.48329	20.80202	33.71239
60	1	1	100	25.71715	23.54383	28.09167
60	1	2	100	38.43489	30.19571	48.91753
65	0	1	100	29.43472	26.97706	32.11498
65	0	2	100	43.9905	34.55281	56.00452
65	1	1	100	42.71798	39.14833	46.61679
65	1	2	100	63.84036	50.15135	81.26497
70	0	1	100	49.92043	45.78233	54.43096
70	0	2	100	74.60281	58.59137	94.99192
70	1	1	100	72.44509	66.39957	79.04172
70	1	2	100	108.2584	85.02007	137.8477
80	0	1	100	149.0972	137.0192	162.2379
80	0	2	100	222.7613	175.035	283.4857
80	1	1	100	216.323	198.4	235.8675
80	1	2	100	323.1475	253.7966	411.4091
