17425445 (100.0)	5683 (0.03)


5990809 (34.4)	40 (0.00)
2875561 (16.5)	94 (0.00)
3068883 (17.6)	355 (0.01)
2405327 (13.8)	693 (0.03)
1948095 (11.2)	1560 (0.08)
1136770 (6.5)	2941 (0.26)


8729741 (50.1)	2098 (0.02)
8695704 (49.9)	3585 (0.04)


312894 (1.8)	161 (0.05)
4806089 (27.6)	1467 (0.03)
4723031 (27.1)	1663 (0.04)
2404098 (13.8)	1164 (0.05)
929803 (5.3)	467 (0.05)
466762 (2.7)	257 (0.06)
3782768 (21.7)	504 (0.01)


8000204 (45.9)	1734 (0.02)
5737545 (32.9)	3527 (0.06)
2962373 (17.0)	393 (0.01)
725323 (4.2)	29 (0.00)


10962999 (62.9)	3597 (0.03)
171929 (1.0)	39 (0.02)
1030890 (5.9)	373 (0.04)
343437 (2.0)	158 (0.05)
323813 (1.9)	59 (0.02)
4592377 (26.4)	1457 (0.03)


3498853 (20.1)	948 (0.03)
3478227 (20.0)	1040 (0.03)
3484518 (20.0)	1101 (0.03)
3481294 (20.0)	1246 (0.04)
3340387 (19.2)	1316 (0.04)
142166 (0.8)	32 (0.02)


3845356 (22.1)	1215 (0.03)
2504790 (14.4)	971 (0.04)
5593822 (32.1)	1796 (0.03)
3752998 (21.5)	1688 (0.04)
1728479 (9.9)	13 (0.00)

5962122 (34.2)	4204 (0.07)


707284 (4.1)	1274 (0.18)

294003 (1.7)	201 (0.07)
2479371 (14.2)	710 (0.03)
1173443 (6.7)	2049 (0.17)

489297 (2.8)	794 (0.16)
1043176 (6.0)	1366 (0.13)
195243 (1.1)	213 (0.11)

80334 (0.5)	106 (0.13)
235635 (1.4)	247 (0.10)
545223 (3.1)	557 (0.10)

8725 (0.1)	27 (0.31)
27925 (0.2)	80 (0.29)
63818 (0.4)	103 (0.16)
114303 (0.7)	111 (0.10)
373968 (2.1)	999 (0.27)
171975 (1.0)	313 (0.18)
1090760 (6.3)	2541 (0.23)
20130 (0.1)	49 (0.24)
28160 (0.2)	23 (0.08)
885284 (5.1)	533 (0.06)
280783 (1.6)	36 (0.01)
