17420594 (100.0)	1418 (0.0)	5707 (0.0)	2457 (0.0)


5973929 (34.3)	103 (0.0)	40 (0.0)	14 (0.0)
2871926 (16.5)	168 (0.0)	93 (0.0)	33 (0.0)
3067705 (17.6)	382 (0.0)	355 (0.0)	125 (0.0)
2406148 (13.8)	428 (0.0)	698 (0.0)	301 (0.0)
1952091 (11.2)	289 (0.0)	1568 (0.1)	704 (0.0)
1148795 (6.6)	48 (0.0)	2953 (0.3)	1280 (0.1)


8726918 (50.1)	395 (0.0)	2112 (0.0)	926 (0.0)
8693676 (49.9)	1023 (0.0)	3595 (0.0)	1531 (0.0)


314161 (1.8)	9 (0.0)	162 (0.1)	72 (0.0)
4812116 (27.6)	147 (0.0)	1478 (0.0)	624 (0.0)
4727688 (27.1)	412 (0.0)	1669 (0.0)	722 (0.0)
2405886 (13.8)	384 (0.0)	1169 (0.0)	504 (0.0)
930210 (5.3)	188 (0.0)	469 (0.1)	196 (0.0)
467049 (2.7)	119 (0.0)	258 (0.1)	115 (0.0)
3763484 (21.6)	159 (0.0)	502 (0.0)	224 (0.0)


8001135 (45.9)	629 (0.0)	1738 (0.0)	752 (0.0)
5726055 (32.9)	724 (0.0)	3543 (0.1)	1528 (0.0)
2964619 (17.0)	56 (0.0)	396 (0.0)	160 (0.0)
728785 (4.2)	9 (0.0)	30 (0.0)	17 (0.0)


10958443 (62.9)	798 (0.0)	3616 (0.0)	1509 (0.0)
171391 (1.0)	20 (0.0)	39 (0.0)	11 (0.0)
1029154 (5.9)	168 (0.0)	372 (0.0)	202 (0.0)
342349 (2.0)	94 (0.0)	157 (0.0)	77 (0.0)
322016 (1.8)	51 (0.0)	61 (0.0)	40 (0.0)
4597241 (26.4)	287 (0.0)	1462 (0.0)	618 (0.0)


3501112 (20.1)	260 (0.0)	950 (0.0)	470 (0.0)
3478439 (20.0)	242 (0.0)	1052 (0.0)	436 (0.0)
3483205 (20.0)	277 (0.0)	1096 (0.0)	471 (0.0)
3479518 (20.0)	334 (0.0)	1253 (0.0)	546 (0.0)
3342741 (19.2)	303 (0.0)	1323 (0.0)	519 (0.0)
135579 (0.8)	SMALL N (0.0)	33 (0.0)	15 (0.0)


3857068 (22.1)	203 (0.0)	1178 (0.0)	503 (0.0)
2503613 (14.4)	178 (0.0)	970 (0.0)	403 (0.0)
5569261 (32.0)	554 (0.0)	1831 (0.0)	797 (0.0)
3754995 (21.6)	464 (0.0)	1716 (0.0)	745 (0.0)
1735657 (10.0)	19 (0.0)	12 (0.0)	9 (0.0)

5957465 (34.2)	854 (0.0)	4231 (0.1)	1841 (0.0)



711513 (4.1)	118 (0.0)	1282 (0.2)	569 (0.1)
16709081 (95.9)	1300 (0.0)	4425 (0.0)	1888 (0.0)

295767 (1.7)	59 (0.0)	199 (0.1)	96 (0.0)
2477001 (14.2)	215 (0.0)	712 (0.0)	318 (0.0)
14647826 (84.1)	1144 (0.0)	4796 (0.0)	2043 (0.0)

1180498 (6.8)	178 (0.0)	2055 (0.2)	922 (0.1)
16240096 (93.2)	1240 (0.0)	3652 (0.0)	1535 (0.0)

476966 (2.7)	167 (0.0)	777 (0.2)	343 (0.1)
1035074 (5.9)	243 (0.0)	1362 (0.1)	610 (0.1)
219991 (1.3)	48 (0.0)	249 (0.1)	107 (0.0)
15688563 (90.1)	960 (0.0)	3319 (0.0)	1397 (0.0)

82148 (0.5)	12 (0.0)	107 (0.1)	54 (0.1)
237345 (1.4)	26 (0.0)	248 (0.1)	126 (0.1)
547714 (3.1)	52 (0.0)	559 (0.1)	241 (0.0)
16553387 (95.0)	1328 (0.0)	4793 (0.0)	2036 (0.0)

8859 (0.1)	SMALL N (0.1)	27 (0.3)	9 (0.1)
28115 (0.2)	19 (0.1)	80 (0.3)	42 (0.1)
64128 (0.4)	14 (0.0)	102 (0.2)	37 (0.1)
17319492 (99.4)	1380 (0.0)	5498 (0.0)	2369 (0.0)

114823 (0.7)	SMALL N (0.0)	112 (0.1)	49 (0.0)
17305771 (99.3)	1413 (0.0)	5595 (0.0)	2408 (0.0)

377652 (2.2)	50 (0.0)	1011 (0.3)	423 (0.1)
17042942 (97.8)	1368 (0.0)	4696 (0.0)	2034 (0.0)

172970 (1.0)	20 (0.0)	314 (0.2)	123 (0.1)
17247624 (99.0)	1398 (0.0)	5393 (0.0)	2334 (0.0)

1095009 (6.3)	176 (0.0)	2533 (0.2)	1079 (0.1)
16325585 (93.7)	1242 (0.0)	3174 (0.0)	1378 (0.0)

20207 (0.1)	16 (0.1)	49 (0.2)	16 (0.1)
17400387 (99.9)	1402 (0.0)	5658 (0.0)	2441 (0.0)

28231 (0.2)	SMALL N (0.0)	23 (0.1)	14 (0.0)
17392363 (99.8)	1413 (0.0)	5684 (0.0)	2443 (0.0)

886315 (5.1)	117 (0.0)	532 (0.1)	255 (0.0)
16534279 (94.9)	1301 (0.0)	5175 (0.0)	2202 (0.0)

280149 (1.6)	20 (0.0)	36 (0.0)	18 (0.0)
17140445 (98.4)	1398 (0.0)	5671 (0.0)	2439 (0.0)

