age1	male	ethnicity	time100	risk100	risk100_lci	risk100_uci
50	0	1	100	50.60865	47.55259	53.85876
50	0	2	100	86.51937	75.41776	99.25961
50	1	1	100	70.83627	66.56647	75.37604
50	1	2	100	121.0913	105.5539	138.9146
60	0	1	100	65.74722	61.82194	69.92221
60	0	2	100	112.3939	97.90659	129.0202
60	1	1	100	92.02276	86.5221	97.87083
60	1	2	100	157.2968	137.0251	180.5663
65	0	1	100	81.50498	76.59793	86.73072
65	0	2	100	139.3237	121.3014	160.0266
65	1	1	100	114.0744	107.1692	121.4206
65	1	2	100	194.975	169.7361	223.9644
70	0	1	100	105.9686	99.59937	112.7422
70	0	2	100	181.1258	157.6722	208.0619
70	1	1	100	148.3065	139.308	157.8867
70	1	2	100	253.4533	220.5789	291.2164
80	0	1	100	195.3583	183.475	208.0083
80	0	2	100	333.8083	290.4236	383.6632
80	1	1	100	273.3613	256.3536	291.4965
80	1	2	100	466.9625	406.0269	537.014
