17427760 (100.0)	3485981 (20.0)	653 (0.0)	2401 (0.0)	2841 (0.0)


5991596 (34.4)	1198802 (20.0)	48 (0.0)	15 (0.0)	60 (0.0)
2875918 (16.5)	575330 (20.0)	68 (0.0)	38 (0.0)	99 (0.0)
3069491 (17.6)	613745 (20.0)	170 (0.0)	131 (0.0)	263 (0.0)
2405708 (13.8)	481221 (20.0)	193 (0.0)	301 (0.0)	432 (0.0)
1948230 (11.2)	389438 (20.0)	146 (0.0)	700 (0.0)	766 (0.0)
1136817 (6.5)	227445 (20.0)	28 (0.0)	1216 (0.1)	1221 (0.1)


8730821 (50.1)	1748058 (20.0)	164 (0.0)	847 (0.0)	966 (0.0)
8696939 (49.9)	1737923 (20.0)	489 (0.0)	1554 (0.0)	1875 (0.0)


313165 (1.8)	62340 (19.9)	X (0.0)	69 (0.0)	72 (0.0)
4814219 (27.6)	964745 (20.0)	62 (0.0)	601 (0.0)	643 (0.0)
4729468 (27.1)	944677 (20.0)	180 (0.0)	694 (0.0)	817 (0.0)
2406945 (13.8)	482120 (20.0)	193 (0.0)	510 (0.0)	641 (0.0)
930573 (5.3)	185703 (20.0)	80 (0.0)	195 (0.0)	241 (0.0)
467124 (2.7)	93406 (20.0)	53 (0.0)	119 (0.0)	154 (0.0)
3766266 (21.6)	752990 (20.0)	82 (0.0)	213 (0.0)	273 (0.0)


5225538 (30.0)	1046801 (20.0)	198 (0.0)	735 (0.0)	866 (0.0)
7320842 (42.0)	1463040 (20.0)	292 (0.0)	994 (0.0)	1193 (0.0)
2929669 (16.8)	586131 (20.0)	91 (0.0)	410 (0.0)	471 (0.0)
1951711 (11.2)	390009 (20.0)	72 (0.0)	262 (0.0)	311 (0.0)


5224138 (30.0)	1045562 (20.0)	209 (0.0)	712 (0.0)	855 (0.0)
2441802 (14.0)	488351 (20.0)	86 (0.0)	298 (0.0)	365 (0.0)
977902 (5.6)	195299 (20.0)	42 (0.0)	129 (0.0)	152 (0.0)
877870 (5.0)	176247 (20.1)	31 (0.0)	133 (0.0)	151 (0.0)
790067 (4.5)	158640 (20.1)	27 (0.0)	105 (0.0)	124 (0.0)
7115981 (40.8)	1421882 (20.0)	258 (0.0)	1024 (0.0)	1194 (0.0)


3344883 (19.2)	669341 (20.0)	129 (0.0)	521 (0.0)	600 (0.0)
3481165 (20.0)	696499 (20.0)	152 (0.0)	524 (0.0)	639 (0.0)
3484444 (20.0)	696225 (20.0)	131 (0.0)	462 (0.0)	550 (0.0)
3478528 (20.0)	696548 (20.0)	105 (0.0)	438 (0.0)	512 (0.0)
3500389 (20.1)	699956 (20.0)	135 (0.0)	442 (0.0)	525 (0.0)
138351 (0.8)	27412 (19.8)	X (0.0)	14 (0.0)	15 (0.0)


5599030 (32.1)	1120722 (20.0)	99 (0.0)	505 (0.0)	577 (0.0)
2504349 (14.4)	501185 (20.0)	79 (0.0)	381 (0.0)	435 (0.0)
5570910 (32.0)	1112981 (20.0)	261 (0.0)	785 (0.0)	962 (0.0)
3753471 (21.5)	751093 (20.0)	214 (0.0)	730 (0.0)	867 (0.0)
0 (0.0)	0 (  .)	0 (  .)	0 (  .)	0 (  .)



711311 (4.1)	142375 (20.0)	62 (0.0)	592 (0.1)	622 (0.1)
16716449 (95.9)	3343606 (20.0)	591 (0.0)	1809 (0.0)	2219 (0.0)

1389866 (8.0)	277845 (20.0)	98 (0.0)	313 (0.0)	379 (0.0)
16037894 (92.0)	3208136 (20.0)	555 (0.0)	2088 (0.0)	2462 (0.0)

1173354 (6.7)	234753 (20.0)	94 (0.0)	891 (0.1)	939 (0.1)
16254406 (93.3)	3251228 (20.0)	559 (0.0)	1510 (0.0)	1902 (0.0)

1727479 (9.9)	344998 (20.0)	210 (0.0)	1036 (0.1)	1167 (0.1)
15700281 (90.1)	3140983 (20.0)	443 (0.0)	1365 (0.0)	1674 (0.0)

80265 (0.5)	15929 (19.8)	X (0.0)	49 (0.1)	54 (0.1)
17347495 (99.5)	3470052 (20.0)	648 (0.0)	2352 (0.0)	2787 (0.0)

67340 (0.4)	13467 (20.0)	9 (0.0)	58 (0.1)	63 (0.1)
17360420 (99.6)	3472514 (20.0)	644 (0.0)	2343 (0.0)	2778 (0.0)

114262 (0.7)	22967 (20.1)	X (0.0)	56 (0.0)	56 (0.0)
17313498 (99.3)	3463014 (20.0)	651 (0.0)	2345 (0.0)	2785 (0.0)

869897 (5.0)	174322 (20.0)	36 (0.0)	122 (0.0)	150 (0.0)
16557863 (95.0)	3311659 (20.0)	617 (0.0)	2279 (0.0)	2691 (0.0)

871509 (5.0)	173982 (20.0)	25 (0.0)	117 (0.0)	134 (0.0)
16556251 (95.0)	3311999 (20.0)	628 (0.0)	2284 (0.0)	2707 (0.0)

871306 (5.0)	173983 (20.0)	31 (0.0)	103 (0.0)	123 (0.0)
16556454 (95.0)	3311998 (20.0)	622 (0.0)	2298 (0.0)	2718 (0.0)

20126 (0.1)	4097 (20.4)	X (0.0)	15 (0.1)	19 (0.1)
17407634 (99.9)	3481884 (20.0)	649 (0.0)	2386 (0.0)	2822 (0.0)

28197 (0.2)	5599 (19.9)	X (0.0)	14 (0.0)	14 (0.0)
17399563 (99.8)	3480382 (20.0)	651 (0.0)	2387 (0.0)	2827 (0.0)

885353 (5.1)	177162 (20.0)	51 (0.0)	239 (0.0)	269 (0.0)
16542407 (94.9)	3308819 (20.0)	602 (0.0)	2162 (0.0)	2572 (0.0)

